ros_time_s,imu_heading
1762169116.6665,331.9370
1762169116.8671,331.7500
1762169117.0674,331.5000
1762169117.2690,331.5620
1762169117.4701,331.8120
1762169117.6701,331.3120
1762169117.8704,331.0620
1762169118.0708,331.0000
1762169118.2707,330.9370
1762169118.4701,331.1250
1762169118.6714,330.9370
1762169118.8735,330.8120
1762169119.0740,330.6870
1762169119.2750,330.2500
1762169119.4754,329.8120
1762169119.6766,329.9370
1762169119.8778,329.6870
1762169120.0792,329.9370
1762169120.2806,330.0620
1762169120.4797,330.3120
1762169120.6801,330.6870
1762169120.8805,330.7500
1762169121.0816,330.7500
1762169121.2817,330.5620
1762169121.4833,330.6870
1762169121.6842,329.7500
1762169121.8845,329.8750
1762169122.0862,330.1870
1762169122.2863,330.7500
1762169122.4879,330.6250
1762169122.6878,330.6250
1762169122.8895,330.8750
1762169123.0901,330.5620
1762169123.2908,330.0000
1762169123.4923,328.9370
1762169123.6931,328.6250
1762169123.9206,328.6870
1762169124.1322,328.7500
1762169124.3439,328.5000
1762169124.5559,328.0620
1762169124.7583,327.1870
1762169124.9575,325.9370
1762169125.1588,324.7500
1762169125.3593,324.6250
1762169125.5584,323.7500
1762169125.7592,321.9370
1762169125.9581,321.0000
1762169126.1585,320.3120
1762169126.3590,319.5000
1762169126.5599,318.9370
1762169126.7593,318.3120
1762169126.9599,317.5620
1762169127.1595,316.6870
1762169127.3602,315.8750
1762169127.5603,314.9370
1762169127.7607,314.1250
1762169127.9604,313.6250
1762169128.1608,312.9370
1762169128.3613,312.1870
1762169128.5621,311.3120
1762169128.7615,310.3750
1762169128.9618,309.6250
1762169129.1613,308.8750
1762169129.3614,308.1870
1762169129.5610,307.3750
1762169129.7615,306.6250
1762169129.9618,306.0000
1762169130.1630,305.3750
1762169130.3634,304.6250
1762169130.5642,303.7500
1762169130.7644,302.7500
1762169130.9638,301.8120
1762169131.1644,301.0620
1762169131.3649,300.5000
1762169131.5649,299.9370
1762169131.7661,299.2500
1762169131.9661,298.4370
1762169132.1663,297.4370
1762169132.3671,296.5000
1762169132.5675,295.4370
1762169132.7670,294.5620
1762169132.9680,294.1250
1762169133.1683,293.5620
1762169133.3692,293.1870
1762169133.5701,292.5620
1762169133.7716,291.9370
1762169133.9713,291.2500
1762169134.1720,290.5620
1762169134.3727,289.7500
1762169134.5725,289.0620
1762169134.7737,288.2500
1762169134.9746,287.6250
1762169135.1741,287.1870
1762169135.3748,286.8120
1762169135.5750,286.4370
1762169135.7762,285.9370
1762169135.9771,285.4370
1762169136.1786,285.0000
1762169136.3782,284.6250
1762169136.5791,284.3120
1762169136.7793,283.9370
1762169136.9806,283.5000
1762169137.1806,283.0000
1762169137.3818,282.4370
1762169137.5812,281.8120
1762169137.7808,281.2500
1762169137.9822,280.5000
1762169138.1823,279.7500
1762169138.3833,278.8120
1762169138.5840,277.6250
1762169138.7843,277.0620
1762169138.9836,276.3120
1762169139.1826,275.4370
1762169139.3834,274.8120
1762169139.5829,274.2500
1762169139.7838,273.5620
