ros_time_s,Imu_Error_yaw
1762169047.0220,-0.0426
1762169047.1910,-0.0436
1762169047.3700,-0.0491
1762169047.5228,-0.0491
1762169047.7008,-0.0545
1762169047.8542,-0.0567
1762169048.0395,-0.0567
1762169048.1939,-0.0567
1762169048.3735,-0.0567
1762169048.5214,-0.0578
1762169048.6931,-0.0567
1762169048.8514,-0.0556
1762169049.0359,-0.0556
1762169049.1906,-0.0513
1762169049.3691,-0.0447
1762169049.5236,-0.0393
1762169049.7005,-0.0338
1762169049.8635,-0.0338
1762169050.0194,-0.0262
1762169050.1967,-0.0164
1762169050.3505,-0.0087
1762169050.5305,-0.0087
1762169050.6848,-0.0022
1762169050.8623,0.0033
1762169051.0077,0.0109
1762169051.1805,0.0164
1762169051.3459,0.0164
1762169051.5269,0.0229
1762169051.6913,0.0305
1762169051.8442,0.0404
1762169052.0165,0.0404
1762169052.1718,0.0535
1762169052.3357,0.0611
1762169052.5152,0.0709
1762169052.6694,0.0785
1762169052.8504,0.0785
1762169053.0061,0.0851
1762169053.1740,0.0916
1762169053.3302,0.0971
1762169053.4901,0.0971
1762169053.6693,0.0982
1762169053.8419,0.1036
1762169053.9948,0.1036
1762169054.1632,0.1036
1762169054.3354,0.1036
1762169054.4927,0.0993
1762169054.6624,0.0949
1762169054.8238,0.0916
1762169054.9952,0.0916
1762169055.1509,0.0894
1762169055.3350,0.0818
1762169055.5014,0.0731
1762169055.6530,0.0665
1762169055.8374,0.0665
1762169055.9906,0.0611
1762169056.1619,0.0556
1762169056.3299,0.0556
1762169056.4848,0.0535
1762169056.6511,0.0502
1762169056.8310,0.0491
1762169057.0013,0.0491
1762169057.1544,0.0480
1762169057.3347,0.0480
1762169057.4887,0.0480
1762169057.6421,0.0491
1762169057.8214,0.0491
1762169057.9767,0.0469
1762169058.1530,0.0535
1762169058.3081,0.0589
1762169058.4769,0.0589
1762169058.6533,0.0655
1762169058.8152,0.0698
1762169058.9826,0.0764
1762169059.1612,0.0840
1762169059.3263,0.0840
1762169059.4823,0.0927
1762169059.6561,0.1004
1762169059.8111,0.1069
1762169059.9880,0.1156
1762169060.1443,0.1156
1762169060.2968,0.1222
1762169060.4766,0.1276
1762169060.6311,0.1331
1762169060.8092,0.1331
1762169060.9819,0.1364
1762169061.1381,0.1396
1762169061.2990,0.1385
1762169061.4765,0.1353
1762169061.6389,0.1353
1762169061.7948,0.1320
1762169061.9646,0.1320
1762169062.1186,0.1309
1762169062.3051,0.1309
1762169062.4483,0.1309
1762169062.6298,0.1244
1762169062.7886,0.1156
1762169062.9674,0.1156
1762169063.1326,0.1080
1762169063.2877,0.0993
1762169063.4665,0.0927
1762169063.6320,0.0927
1762169063.7859,0.0884
1762169063.9651,0.0840
1762169064.1184,0.0818
1762169064.2893,0.0742
1762169064.4443,0.0742
1762169064.6299,0.0655
1762169064.7845,0.0589
1762169064.9611,0.0513
1762169065.1220,0.0513
1762169065.2792,0.0469
1762169065.4462,0.0436
1762169065.6257,0.0415
1762169065.7752,0.0404
1762169065.9452,0.0404
1762169066.1114,0.0360
1762169066.2667,0.0284
1762169066.4432,0.0218
1762169066.6140,0.0164
1762169066.7686,0.0164
1762169066.9441,0.0142
1762169067.1027,0.0098
1762169067.2568,0.0000
1762169067.4259,0.0000
1762169067.5893,-0.0098
1762169067.7590,-0.0175
1762169067.9253,-0.0273
1762169068.0855,-0.0382
1762169068.2681,-0.0382
1762169068.4281,-0.0469
1762169068.5834,-0.0578
1762169068.7610,-0.0687
1762169068.9269,-0.0687
1762169069.0892,-0.0774
1762169069.2444,-0.0851
1762169069.4276,-0.0927
1762169069.5815,-0.0982
1762169069.7481,-0.0982
1762169069.9062,-0.1036
1762169070.0795,-0.1047
1762169070.2336,-0.1004
1762169070.4124,-0.1004
1762169070.5682,-0.0971
1762169070.7514,-0.0993
1762169070.9071,-0.1036
1762169071.0622,-0.1047
1762169071.2401,-0.1047
1762169071.3979,-0.1047
1762169071.5629,-0.1058
1762169071.7438,-0.1058
1762169071.9093,-0.1047
1762169072.0575,-0.1047
1762169072.2273,-0.0982
1762169072.4056,-0.0971
1762169072.5522,-0.0927
1762169072.7357,-0.0927
1762169072.8900,-0.0905
1762169073.0433,-0.0905
1762169073.2238,-0.0894
1762169073.3784,-0.0894
1762169073.5472,-0.0905
1762169073.7258,-0.0949
1762169073.8756,-0.0982
1762169074.0609,-0.0949
1762169074.2130,-0.0949
1762169074.3913,-0.0905
1762169074.5375,-0.0883
1762169074.7098,-0.0862
1762169074.8769,-0.0862
1762169075.0449,-0.0862
1762169075.2119,-0.0862
1762169075.3772,-0.0873
1762169075.5630,-0.0894
1762169075.7165,-0.0894
1762169075.8950,-0.0960
1762169076.0481,-0.1036
1762169076.2210,-0.1102
