ros_time_s,Lecturas_ValidasRojo
1762169021.1229,0.0000
1762169021.2992,0.0000
1762169021.4530,0.0000
1762169021.6206,0.0000
1762169021.7981,0.0000
1762169021.9511,0.0000
1762169022.1320,0.0000
1762169022.2860,0.0000
1762169022.4764,0.0000
1762169022.6449,0.0000
1762169022.7978,0.0000
1762169022.9773,0.0000
1762169023.1323,0.0000
1762169023.3007,0.0000
1762169023.4766,0.0000
1762169023.6295,0.0000
1762169023.8075,0.0000
1762169023.9715,0.0000
1762169024.1310,0.0000
1762169024.3073,0.0000
1762169024.4630,0.0000
1762169024.6466,0.0000
1762169024.8003,0.0000
1762169024.9872,0.0000
1762169025.1381,0.0000
1762169025.3221,0.0000
1762169025.4768,0.0000
1762169025.6538,0.0000
1762169025.8075,0.0000
1762169025.9877,0.0000
1762169026.1415,0.0000
1762169026.3207,0.0000
1762169026.4778,0.0000
1762169026.6408,0.0000
1762169026.8070,0.0000
1762169026.9688,0.0000
1762169027.1518,0.0000
1762169027.3061,0.0000
1762169027.4787,0.0000
1762169027.6567,0.0000
1762169027.8118,0.0000
1762169027.9896,0.0000
1762169028.1447,0.0000
1762169028.3197,0.0000
1762169028.4775,0.0000
1762169028.6387,0.0000
1762169028.8172,0.0000
1762169028.9695,0.0000
1762169029.1556,0.0000
1762169029.3125,0.0000
1762169029.4904,0.0000
1762169029.6435,0.0000
1762169029.8219,0.0000
1762169029.9766,0.0000
1762169030.1527,0.0000
1762169030.3088,0.0000
1762169030.4877,0.0000
1762169030.6435,0.0000
1762169030.8063,0.0000
1762169030.9867,0.0000
1762169031.1554,0.0000
1762169031.3092,0.0000
1762169031.4703,0.0000
1762169031.6566,0.0000
1762169031.8113,0.0000
1762169031.9783,0.0000
1762169032.1368,0.0000
1762169032.3139,0.0000
1762169032.4737,0.0000
1762169032.6357,0.0000
1762169032.8006,0.0000
1762169032.9790,0.0000
1762169033.1339,0.0000
1762169033.3126,0.0000
1762169033.4757,0.0000
1762169033.6517,0.0000
1762169033.8075,0.0000
1762169033.9812,0.0000
1762169034.1507,0.0000
1762169034.3037,0.0000
1762169034.4840,0.0000
1762169034.6518,0.0000
1762169034.8247,0.0000
1762169034.9898,0.0000
1762169035.1436,0.0000
1762169035.3224,0.0000
1762169035.4836,0.0000
1762169035.6563,0.0000
1762169035.8364,0.0000
1762169035.9903,0.0000
1762169036.1603,0.0000
1762169036.3157,0.0000
1762169036.4942,0.0000
1762169036.6616,0.0000
1762169036.8249,0.0000
1762169037.0043,0.0000
1762169037.1598,0.0000
1762169037.3275,0.0000
1762169037.5039,0.0000
1762169037.6599,0.0000
1762169037.8385,0.0000
1762169037.9932,0.0000
1762169038.1612,0.0000
1762169038.3352,0.0000
1762169038.4884,0.0000
1762169038.6675,0.0000
1762169038.8219,0.0000
1762169038.9992,0.0000
1762169039.1533,0.0000
1762169039.3295,0.0000
1762169039.5087,0.0000
1762169039.6611,0.0000
1762169039.8409,0.0000
1762169040.0025,0.0000
1762169040.1706,0.0000
1762169040.3319,0.0000
1762169040.5112,0.0000
1762169040.6723,0.0000
1762169040.8441,0.0000
1762169040.9988,0.0000
1762169041.1796,0.0000
1762169041.3307,0.0000
1762169041.5102,0.0000
1762169041.6651,0.0000
1762169041.8331,0.0000
1762169042.0144,0.0000
1762169042.1666,0.0000
1762169042.3400,0.0000
1762169042.5185,0.0000
1762169042.6746,0.0000
1762169042.8441,0.0000
1762169043.0096,0.0000
1762169043.1882,0.0000
1762169043.3427,0.0000
1762169043.5204,0.0000
1762169043.6890,0.0000
1762169043.8576,0.0000
1762169044.0153,0.0000
1762169044.1945,0.0000
1762169044.3599,0.0000
1762169044.5141,0.0000
1762169044.6914,0.0000
1762169044.8444,0.0000
1762169045.0259,0.0000
1762169045.1812,1.0000
1762169045.3598,1.0000
1762169045.5307,2.0000
1762169045.6867,2.0000
1762169045.8576,2.0000
1762169046.0122,2.0000
1762169046.1974,2.0000
1762169046.3534,3.0000
1762169046.5312,4.0000
1762169046.6866,4.0000
1762169046.8478,4.0000
1762169047.0234,4.0000
1762169047.1924,4.0000
1762169047.3723,4.0000
1762169047.5241,4.0000
1762169047.7022,4.0000
1762169047.8550,3.0000
1762169048.0407,3.0000
1762169048.1950,3.0000
1762169048.3755,4.0000
1762169048.5228,4.0000
1762169048.6941,3.0000
1762169048.8524,3.0000
1762169049.0370,3.0000
1762169049.1919,3.0000
1762169049.3707,3.0000
1762169049.5251,4.0000
1762169049.7019,4.0000
1762169049.8649,4.0000
1762169050.0209,3.0000
1762169050.1979,4.0000
1762169050.3516,3.0000
1762169050.5321,4.0000
1762169050.6865,4.0000
1762169050.8638,4.0000
1762169051.0092,5.0000
1762169051.1819,5.0000
1762169051.3470,4.0000
1762169051.5284,5.0000
1762169051.6931,5.0000
1762169051.8453,4.0000
1762169052.0179,4.0000
1762169052.1731,4.0000
1762169052.3371,4.0000
1762169052.5170,4.0000
1762169052.6707,4.0000
1762169052.8516,4.0000
1762169053.0074,4.0000
1762169053.1754,4.0000
1762169053.3317,4.0000
1762169053.4914,4.0000
1762169053.6709,3.0000
1762169053.8434,3.0000
1762169053.9956,2.0000
1762169054.1641,1.0000
1762169054.3373,0.0000
1762169054.4942,0.0000
1762169054.6636,0.0000
1762169054.8258,0.0000
1762169054.9962,0.0000
1762169055.1522,0.0000
1762169055.3370,0.0000
1762169055.5038,0.0000
1762169055.6539,0.0000
1762169055.8385,0.0000
1762169055.9928,0.0000
1762169056.1632,0.0000
1762169056.3314,0.0000
1762169056.4861,0.0000
1762169056.6521,0.0000
1762169056.8326,0.0000
1762169057.0025,0.0000
1762169057.1553,0.0000
1762169057.3363,0.0000
1762169057.4900,0.0000
1762169057.6431,0.0000
1762169057.8227,0.0000
1762169057.9780,0.0000
1762169058.1538,0.0000
1762169058.3095,0.0000
1762169058.4782,0.0000
1762169058.6542,0.0000
1762169058.8167,0.0000
1762169058.9843,0.0000
1762169059.1629,0.0000
1762169059.3288,0.0000
1762169059.4837,0.0000
1762169059.6569,0.0000
1762169059.8127,0.0000
1762169059.9889,0.0000
1762169060.1454,0.0000
1762169060.2979,0.0000
1762169060.4780,0.0000
1762169060.6324,0.0000
1762169060.8106,0.0000
1762169060.9837,0.0000
1762169061.1394,0.0000
1762169061.3004,0.0000
1762169061.4784,0.0000
1762169061.6403,0.0000
1762169061.7959,0.0000
1762169061.9661,0.0000
1762169062.1200,0.0000
1762169062.3066,0.0000
1762169062.4492,0.0000
1762169062.6313,0.0000
1762169062.7896,0.0000
1762169062.9690,0.0000
1762169063.1337,0.0000
1762169063.2889,0.0000
1762169063.4681,0.0000
1762169063.6332,0.0000
1762169063.7873,0.0000
1762169063.9666,0.0000
1762169064.1200,0.0000
1762169064.2904,0.0000
1762169064.4452,0.0000
1762169064.6317,0.0000
1762169064.7860,0.0000
1762169064.9626,0.0000
1762169065.1241,0.0000
1762169065.2806,0.0000
1762169065.4473,0.0000
1762169065.6273,0.0000
1762169065.7766,0.0000
1762169065.9462,0.0000
1762169066.1130,0.0000
1762169066.2682,0.0000
1762169066.4443,0.0000
1762169066.6157,0.0000
1762169066.7701,0.0000
1762169066.9454,0.0000
1762169067.1041,0.0000
1762169067.2580,0.0000
1762169067.4273,0.0000
1762169067.5901,0.0000
1762169067.7605,0.0000
1762169067.9268,0.0000
1762169068.0866,0.0000
1762169068.2697,0.0000
1762169068.4296,0.0000
1762169068.5846,0.0000
1762169068.7627,0.0000
1762169068.9283,0.0000
1762169069.0901,0.0000
1762169069.2448,0.0000
1762169069.4290,0.0000
1762169069.5832,0.0000
1762169069.7490,0.0000
1762169069.9078,0.0000
1762169070.0809,0.0000
1762169070.2347,1.0000
1762169070.4139,0.0000
1762169070.5695,0.0000
1762169070.7524,2.0000
1762169070.9088,2.0000
1762169071.0636,1.0000
1762169071.2413,2.0000
1762169071.3990,2.0000
1762169071.5642,2.0000
1762169071.7459,3.0000
1762169071.9108,2.0000
1762169072.0589,2.0000
1762169072.2286,2.0000
1762169072.4072,3.0000
1762169072.5531,3.0000
1762169072.7366,4.0000
1762169072.8910,4.0000
1762169073.0442,4.0000
1762169073.2252,4.0000
1762169073.3801,5.0000
1762169073.5481,5.0000
1762169073.7274,2.0000
1762169073.8770,2.0000
1762169074.0624,2.0000
1762169074.2140,2.0000
1762169074.3922,3.0000
1762169074.5382,3.0000
1762169074.7113,3.0000
1762169074.8782,3.0000
1762169075.0459,3.0000
1762169075.2132,4.0000
1762169075.3786,4.0000
1762169075.5645,4.0000
1762169075.7178,4.0000
