ros_time_s,Lidar_Left
1762169092.7210,1.0666
1762169092.8760,1.0752
1762169093.0553,1.1154
1762169093.2093,1.1225
1762169093.3867,1.1428
1762169093.5421,1.1065
1762169093.7205,1.1377
1762169093.8752,1.1623
1762169094.0525,1.1096
1762169094.2100,1.1621
1762169094.3724,1.0732
1762169094.5425,1.1027
1762169094.7046,1.1602
1762169094.8815,1.1453
1762169095.0368,1.1442
1762169095.1910,1.1239
1762169095.3703,1.1301
1762169095.5304,1.1027
1762169095.7091,1.1088
1762169095.8640,1.1440
1762169096.0405,1.1363
1762169096.1978,1.1137
1762169096.3518,1.1085
1762169096.5173,1.1290
1762169096.6877,1.1141
1762169096.8668,1.0953
1762169097.0206,1.1051
1762169097.1930,1.1451
1762169097.3517,1.1297
1762169097.5212,1.1525
1762169097.6850,1.0885
1762169097.8554,1.0836
1762169098.0129,1.0914
1762169098.1879,1.0747
1762169098.3435,1.0727
1762169098.5030,1.0595
1762169098.6774,1.0235
1762169098.8432,1.0874
1762169098.9984,1.0687
1762169099.1758,1.0357
1762169099.3287,1.0181
1762169099.4951,1.0324
1762169099.6720,1.0683
1762169099.8267,1.0641
1762169100.0061,1.0335
1762169100.1599,1.0412
1762169100.3367,1.0944
1762169100.4954,1.0457
1762169100.6735,1.0761
1762169100.8370,1.0813
1762169100.9898,1.0764
1762169101.1680,1.0622
1762169101.3329,1.0980
1762169101.5120,1.0925
1762169101.6654,1.1286
1762169101.8415,1.0693
1762169101.9963,1.0774
1762169102.1745,1.0381
1762169102.3292,1.0864
1762169102.5076,1.0925
1762169102.6628,1.0920
1762169102.8405,1.0539
1762169103.0111,1.0270
1762169103.1654,1.0439
1762169103.3425,1.0363
1762169103.4938,1.0812
1762169103.6730,1.1081
1762169103.8257,1.0775
1762169104.0097,1.0711
1762169104.1711,1.0759
1762169104.3351,1.0484
1762169104.5060,0.9985
1762169104.6795,1.0558
1762169104.8323,1.0314
1762169105.0012,0.9763
1762169105.1791,1.0576
1762169105.3269,1.0592
1762169105.4996,1.0618
1762169105.6636,1.0958
1762169105.8438,1.0568
1762169105.9990,1.0182
1762169106.1720,0.9467
1762169106.3266,0.8909
1762169106.5048,0.9369
1762169106.6769,1.0010
1762169106.8383,1.0235
1762169106.9951,0.9828
1762169107.1734,1.0047
1762169107.3281,1.0029
1762169107.5070,0.9699
1762169107.6646,0.9838
1762169107.8419,0.9767
1762169107.9959,0.9867
1762169108.1756,0.9331
1762169108.3381,0.9190
1762169108.4985,0.8959
1762169108.6631,0.9029
1762169108.8456,0.8733
1762169109.0013,0.8754
1762169109.1784,0.9884
1762169109.3319,0.9288
1762169109.4996,0.9488
1762169109.6676,1.0100
1762169109.8368,1.0815
1762169110.0179,1.1508
1762169110.1711,1.1619
1762169110.3504,1.1559
1762169110.5284,1.1977
1762169110.6836,1.2691
1762169110.8614,1.2482
1762169111.0148,1.2412
1762169111.1869,1.2135
1762169111.3457,1.2562
1762169111.5138,1.3190
1762169111.6927,1.2790
1762169111.8709,1.3579
1762169112.0241,1.3569
1762169112.2036,1.3538
1762169112.3589,1.3354
1762169112.5367,1.3482
1762169112.6938,1.3435
1762169112.8691,1.3165
1762169113.0250,1.3101
1762169113.2027,1.3304
1762169113.3568,1.3604
1762169113.5369,1.4131
1762169113.7055,1.4136
1762169113.8544,1.4644
1762169114.0331,1.3849
1762169114.1885,1.3620
1762169114.3693,1.3598
1762169114.5424,1.3726
1762169114.7051,1.4171
1762169114.8599,1.4392
1762169115.0434,1.3885
1762169115.1966,1.4617
1762169115.3750,1.4505
1762169115.5320,1.3629
1762169115.7093,1.3578
1762169115.8630,1.3582
1762169116.0421,1.3635
1762169116.1928,1.3610
1762169116.3705,1.4489
1762169116.5497,1.4390
1762169116.7049,1.3413
1762169116.8823,1.4114
1762169117.0366,1.4365
1762169117.2165,1.4310
1762169117.3696,1.4351
1762169117.5487,1.4267
1762169117.7029,1.4021
1762169117.8814,1.4948
1762169118.0607,1.5027
1762169118.2147,1.4924
1762169118.3946,1.4321
1762169118.5489,1.4835
1762169118.7273,1.4464
1762169118.8824,1.5359
1762169119.0639,1.4964
1762169119.2178,1.5214
1762169119.4006,1.5309
1762169119.5554,1.5615
1762169119.7343,1.5408
1762169119.8888,1.5682
1762169120.0666,1.5781
1762169120.2220,1.6135
1762169120.3996,1.5839
1762169120.5554,1.6338
1762169120.7342,1.6789
1762169120.8866,1.6530
1762169121.0751,1.7116
1762169121.2257,1.6022
1762169121.4063,1.6197
1762169121.5589,1.3681
1762169121.7387,1.3709
1762169121.8925,1.1504
1762169122.0694,1.2566
1762169122.2505,1.2746
1762169122.4088,1.1828
1762169122.5880,1.2122
1762169122.7423,1.2396
1762169122.9117,1.1462
1762169123.0693,1.1335
1762169123.2383,1.1705
1762169123.4179,1.0679
1762169123.5909,1.2715
1762169123.7492,1.2264
1762169123.9137,1.2632
1762169124.0924,1.1570
1762169124.2469,1.1966
1762169124.4257,1.2891
1762169124.5800,1.2129
1762169124.7590,1.2885
1762169124.9119,1.2327
1762169125.0912,1.3252
1762169125.2452,1.2338
1762169125.4229,1.2446
1762169125.5961,1.4482
1762169125.7643,1.3780
1762169125.9250,1.3188
1762169126.1057,1.2813
1762169126.2717,1.2701
1762169126.4341,1.2405
1762169126.5966,1.2585
1762169126.7770,1.2410
1762169126.9364,1.2753
1762169127.0918,1.2955
1762169127.2691,1.3253
1762169127.4226,1.1992
1762169127.6026,1.2801
1762169127.7576,1.2423
1762169127.9338,1.2039
1762169128.0898,1.1179
1762169128.2674,1.2047
1762169128.4215,1.1603
1762169128.5816,1.1053
1762169128.7458,1.1824
1762169128.9139,1.1092
1762169129.0831,1.1058
1762169129.2633,1.1038
1762169129.4183,1.1491
1762169129.5977,1.0232
1762169129.7493,1.0243
1762169129.9276,1.0948
1762169130.0840,1.0922
