ros_time_s,Imu_Error_yaw
1762172580.9714,0.0589
1762172581.1381,0.0578
1762172581.2963,0.0600
1762172581.4726,0.0600
1762172581.6260,0.0600
1762172581.8042,0.0578
1762172581.9595,0.0556
1762172582.1134,0.0556
1762172582.2800,0.0556
1762172582.4586,0.0513
1762172582.6133,0.0502
1762172582.7709,0.0502
1762172582.9376,0.0491
1762172583.0943,0.0491
1762172583.2780,0.0513
1762172583.4282,0.0535
1762172583.5825,0.0545
1762172583.7499,0.0545
1762172583.9131,0.0545
1762172584.0750,0.0535
1762172584.2537,0.0545
1762172584.4076,0.0545
1762172584.5827,0.0535
1762172584.7373,0.0491
1762172584.8918,0.0469
1762172585.0570,0.0404
1762172585.2167,0.0404
1762172585.3822,0.0371
1762172585.5611,0.0371
1762172585.7158,0.0382
1762172585.8741,0.0382
1762172586.0417,0.0371
1762172586.2202,0.0305
1762172586.3735,0.0251
1762172586.5493,0.0251
1762172586.7038,0.0218
1762172586.8794,0.0251
1762172587.0401,0.0273
1762172587.1989,0.0316
1762172587.3638,0.0316
1762172587.5421,0.0371
1762172587.6956,0.0415
1762172587.8645,0.0447
1762172588.0290,0.0447
1762172588.1880,0.0469
1762172588.3422,0.0491
1762172588.5134,0.0491
1762172588.6782,0.0491
1762172588.8415,0.0491
1762172589.0173,0.0458
1762172589.1682,0.0426
1762172589.3382,0.0382
1762172589.4925,0.0382
1762172589.6621,0.0371
1762172589.8389,0.0360
1762172589.9861,0.0360
1762172590.1692,0.0360
1762172590.3240,0.0360
1762172590.4819,0.0327
1762172590.6458,0.0273
1762172590.8132,0.0273
1762172590.9712,0.0229
1762172591.1509,0.0186
1762172591.3047,0.0109
1762172591.4599,0.0044
1762172591.6324,0.0044
1762172591.7885,-0.0033
1762172591.9635,-0.0098
1762172592.1170,-0.0142
1762172592.2950,-0.0142
1762172592.4488,-0.0175
1762172592.6107,-0.0229
1762172592.7810,-0.0262
1762172592.9371,-0.0262
1762172593.1166,-0.0327
1762172593.2713,-0.0436
1762172593.4237,-0.0535
1762172593.5975,-0.0535
1762172593.7673,-0.0600
1762172593.9213,-0.0644
1762172594.0841,-0.0687
1762172594.2628,-0.0687
1762172594.4174,-0.0687
1762172594.5804,-0.0720
1762172594.7340,-0.0731
1762172594.9133,-0.0731
1762172595.0669,-0.0742
1762172595.2353,-0.0742
1762172595.3993,-0.0753
1762172595.5589,-0.0753
1762172595.7367,-0.0774
1762172595.8902,-0.0774
1762172596.0534,-0.0818
1762172596.2099,-0.0840
1762172596.3914,-0.0785
1762172596.5443,-0.0774
1762172596.6992,-0.0774
1762172596.8714,-0.0720
1762172597.0398,-0.0655
1762172597.2041,-0.0567
1762172597.3572,-0.0567
1762172597.5318,-0.0469
1762172597.6904,-0.0404
1762172597.8541,-0.0349
1762172598.0294,-0.0349
1762172598.1867,-0.0305
1762172598.3401,-0.0284
1762172598.5184,-0.0262
1762172598.6767,-0.0218
1762172598.8466,-0.0218
1762172599.0109,-0.0175
1762172599.1728,-0.0131
1762172599.3266,-0.0065
1762172599.4866,-0.0065
1762172599.6630,0.0000
1762172599.8324,0.0087
1762172599.9862,0.0175
1762172600.1598,0.0229
1762172600.3182,0.0229
1762172600.4873,0.0240
1762172600.6499,0.0251
1762172600.8128,0.0251
1762172600.9759,0.0251
1762172601.1363,0.0229
1762172601.3018,0.0196
1762172601.4644,0.0142
1762172601.6359,0.0120
1762172601.7931,0.0120
1762172601.9563,0.0109
1762172602.1210,0.0120
1762172602.2828,0.0131
1762172602.4469,0.0131
1762172602.6034,0.0120
1762172602.7779,0.0098
1762172602.9261,0.0065
1762172603.0965,0.0065
1762172603.2673,0.0044
1762172603.4212,0.0033
1762172603.5955,0.0033
1762172603.7521,0.0011
1762172603.9203,0.0011
1762172604.0823,-0.0011
1762172604.2386,-0.0033
1762172604.3995,-0.0033
1762172604.5765,-0.0033
1762172604.7322,-0.0044
1762172604.9092,-0.0044
1762172605.0629,-0.0054
1762172605.2180,-0.0054
1762172605.3963,-0.0044
1762172605.5504,-0.0011
