ros_time_s,Lidar_Left
1762172587.3638,1.0650
1762172587.5421,1.0754
1762172587.6956,1.0868
1762172587.8645,1.0485
1762172588.0290,1.0852
1762172588.1880,1.0499
1762172588.3422,1.0679
1762172588.5134,1.0440
1762172588.6782,1.0752
1762172588.8415,1.0843
1762172589.0173,1.0349
1762172589.1682,1.0764
1762172589.3382,1.0341
1762172589.4925,1.0522
1762172589.6621,1.0385
1762172589.8389,1.0486
1762172589.9861,1.0843
1762172590.1692,1.0670
1762172590.3240,1.0491
1762172590.4819,1.0432
1762172590.6458,1.0927
1762172590.8132,1.0169
1762172590.9712,1.0632
1762172591.1509,1.0804
1762172591.3047,1.0638
1762172591.4599,1.0744
1762172591.6324,1.0451
1762172591.7885,1.0392
1762172591.9635,1.0532
1762172592.1170,1.0249
1762172592.2950,1.0272
1762172592.4488,1.0588
1762172592.6107,1.0727
1762172592.7810,1.0636
1762172592.9371,1.0791
1762172593.1166,1.0762
1762172593.2713,1.0541
1762172593.4237,1.0872
1762172593.5975,1.0600
1762172593.7673,1.0950
1762172593.9213,1.0948
1762172594.0841,1.0874
1762172594.2628,1.0887
1762172594.4174,1.0861
1762172594.5804,1.0826
1762172594.7340,1.0912
1762172594.9133,1.0667
1762172595.0669,1.1258
1762172595.2353,1.1291
1762172595.3993,1.1140
1762172595.5589,1.1127
1762172595.7367,1.1191
1762172595.8902,1.1087
1762172596.0534,1.0932
1762172596.2099,1.1158
1762172596.3914,1.1231
1762172596.5443,1.1084
1762172596.6992,1.1144
1762172596.8714,1.0927
1762172597.0398,1.0949
1762172597.2041,1.0819
1762172597.3572,1.0961
1762172597.5318,1.0888
1762172597.6904,1.1111
1762172597.8541,1.1098
1762172598.0294,1.1151
1762172598.1867,1.1228
1762172598.3401,1.1285
1762172598.5184,1.1553
1762172598.6767,1.1397
1762172598.8466,1.1184
1762172599.0109,1.1110
1762172599.1728,1.0955
1762172599.3266,1.0934
1762172599.4866,1.0841
1762172599.6630,1.0827
1762172599.8324,1.0871
1762172599.9862,1.0785
1762172600.1598,1.0710
1762172600.3182,1.0648
1762172600.4873,1.0847
1762172600.6499,1.0634
1762172600.8128,1.0888
1762172600.9759,1.1137
1762172601.1363,1.0780
1762172601.3018,1.1248
1762172601.4644,1.1068
1762172601.6359,1.0897
1762172601.7931,1.0719
1762172601.9563,1.0974
1762172602.1210,1.0935
1762172602.2828,1.1053
1762172602.4469,1.1166
1762172602.6034,1.1142
1762172602.7779,1.0968
1762172602.9261,1.0752
1762172603.0965,1.0799
1762172603.2673,1.0957
1762172603.4212,1.0730
1762172603.5955,1.0840
1762172603.7521,1.1185
1762172603.9203,1.0911
1762172604.0823,1.0988
1762172604.2386,1.1127
1762172604.3995,1.0825
1762172604.5765,1.1004
1762172604.7322,1.1046
1762172604.9092,1.1047
1762172605.0629,1.1226
1762172605.2180,1.0631
1762172605.3963,1.1002
1762172605.5504,1.0946
1762172605.7256,1.0925
1762172605.8889,1.0942
1762172606.0491,1.1063
1762172606.2103,1.0907
1762172606.3788,1.0761
1762172606.5289,1.0917
1762172606.7023,1.0979
1762172606.8560,1.0691
1762172607.0119,1.0820
1762172607.1965,1.0995
1762172607.3485,1.0931
1762172607.5022,1.1095
1762172607.6814,1.1055
1762172607.8494,1.0831
1762172607.9991,1.1097
1762172608.1624,1.1145
1762172608.3373,1.1138
1762172608.4917,1.1228
1762172608.6558,1.0752
1762172608.8182,1.0660
1762172608.9994,1.0717
1762172609.1527,1.1085
1762172609.3235,1.0779
1762172609.4687,1.1070
1762172609.6522,1.0819
1762172609.8082,1.1231
1762172609.9616,1.1018
1762172610.1262,1.0770
1762172610.2841,1.0790
1762172610.4671,1.0890
1762172610.6304,1.1049
1762172610.7888,1.1092
1762172610.9433,1.0942
1762172611.0992,1.0890
1762172611.2760,1.0977
1762172611.4308,1.0920
1762172611.5994,1.1037
1762172611.7510,1.0810
1762172611.9297,1.0872
1762172612.0807,1.1108
1762172612.2480,1.0935
1762172612.4173,1.1111
1762172612.5692,1.1072
1762172612.7309,1.1071
1762172612.8948,1.1000
1762172613.0724,1.1253
