ros_time_s,imu_heading
1762172603.7152,0.0620
1762172603.9384,0.1870
1762172604.1669,0.1870
1762172604.3798,0.2500
1762172604.5927,0.2500
1762172604.8043,0.3120
1762172605.0162,0.2500
1762172605.2274,0.0620
1762172605.4390,0.0000
1762172605.6517,359.8120
1762172605.8631,359.8120
1762172606.0762,359.8120
1762172606.2880,359.8120
1762172606.5010,359.8120
1762172606.7035,359.6250
1762172606.9301,359.3120
1762172607.1420,359.0620
1762172607.3809,359.0620
1762172607.5938,359.1870
1762172607.8060,359.3120
1762172608.0188,359.4370
1762172608.2301,359.3750
1762172608.4436,359.3120
1762172608.6543,359.0000
1762172608.8649,358.4370
1762172609.0771,358.1250
1762172609.2904,357.9370
1762172609.5034,357.7500
1762172609.7137,357.5000
1762172609.9262,357.3120
1762172610.1381,357.1870
1762172610.3508,356.9370
1762172610.5616,356.4370
1762172610.7736,356.2500
1762172610.9870,356.1250
1762172611.1985,355.9370
1762172611.4101,355.8120
1762172611.6302,355.8120
1762172611.8425,355.6870
1762172612.0528,355.5620
1762172612.2785,355.5620
1762172612.4921,355.6870
1762172612.7028,355.7500
1762172612.9134,355.9370
1762172613.1537,356.1250
1762172613.3649,356.1250
1762172613.5776,356.1250
1762172613.7903,356.0000
1762172614.0007,355.8750
1762172614.2125,355.5620
1762172614.4240,355.3750
1762172614.6348,355.2500
1762172614.8485,355.2500
1762172615.0594,355.1250
1762172615.2707,355.1250
1762172615.4819,355.1870
1762172615.6860,355.6250
1762172615.8987,356.1870
1762172616.1080,356.7500
1762172616.3204,356.8750
1762172616.5319,357.0000
1762172616.7507,357.0620
1762172616.9876,357.1250
1762172617.1990,357.1250
1762172617.4015,357.1250
1762172617.6144,357.3750
1762172617.8371,357.4370
1762172618.0497,357.5000
1762172618.2613,357.3120
1762172618.4724,357.3750
1762172618.6833,357.0620
1762172618.9001,357.0620
1762172619.1081,357.0000
1762172619.3190,357.0000
1762172619.5324,357.0000
1762172619.7518,357.0620
1762172619.9635,357.1870
1762172620.1984,357.1870
1762172620.4088,357.0620
1762172620.6209,356.6870
1762172620.8498,356.5620
1762172621.0563,356.3750
1762172621.2673,355.7500
1762172621.4788,355.3120
1762172621.6910,354.8750
1762172621.9053,354.5620
1762172622.1154,354.3120
1762172622.3265,354.1250
1762172622.5373,354.0620
1762172622.7525,354.0000
1762172622.9627,354.0000
1762172623.1749,354.0000
1762172623.3774,354.0000
1762172623.6023,354.0000
1762172623.8397,354.0620
1762172624.0423,354.0620
1762172624.2552,354.1870
1762172624.4686,354.3120
1762172624.6818,354.5000
1762172624.9014,354.6250
1762172625.1124,354.6250
1762172625.3246,354.6870
1762172625.5367,354.7500
1762172625.7482,355.0000
1762172625.9594,355.2500
1762172626.1714,355.1250
1762172626.3826,355.1250
1762172626.5980,354.8750
1762172626.8061,354.5000
1762172627.0175,354.3750
1762172627.2319,354.1250
1762172627.4523,353.8750
1762172627.6817,353.6250
1762172627.8943,353.2500
1762172628.1044,353.0620
1762172628.3151,352.9370
1762172628.5274,352.6870
1762172628.7393,352.6250
1762172628.9519,352.6870
1762172629.1521,352.7500
1762172629.3889,353.1870
1762172629.6020,353.8120
1762172629.8112,354.0000
1762172630.0236,354.5000
1762172630.2358,354.6870
1762172630.4524,355.0000
1762172630.6856,356.0000
1762172630.8980,356.9370
1762172631.1072,357.5620
1762172631.3191,358.2500
1762172631.5309,358.8750
1762172631.7413,359.6250
1762172631.9530,0.1250
1762172632.1666,0.3750
1762172632.3774,0.9370
1762172632.5881,1.4370
1762172632.7923,1.7500
1762172632.9926,1.8120
1762172633.1933,1.8750
1762172633.3993,2.0000
1762172633.6108,2.1880
1762172633.8356,2.4380
1762172634.0496,2.8130
1762172634.2585,3.0000
1762172634.4703,3.1880
1762172634.6824,3.3750
1762172634.8983,3.5000
1762172635.1073,3.7500
1762172635.3192,3.9380
1762172635.5301,4.0000
1762172635.7436,4.0620
1762172635.9650,4.0000
1762172636.1772,4.1250
1762172636.3895,4.1250
1762172636.6038,4.0000
1762172636.8142,3.6880
1762172637.0266,3.4380
1762172637.2382,3.4380
1762172637.4506,3.2500
1762172637.6614,2.9380
1762172637.8731,2.8130
1762172638.0868,2.7500
1762172638.2993,2.6880
1762172638.5090,2.7500
1762172638.7213,2.8750
1762172638.9327,2.6880
1762172639.1490,2.3130
1762172639.3582,2.2500
1762172639.5722,2.1880
1762172639.7846,1.8120
1762172640.0001,1.2500
1762172640.1972,0.4370
1762172640.4218,359.8750
1762172640.6428,359.0620
1762172640.8547,358.5000
1762172641.0669,358.0000
1762172641.2772,357.5620
1762172641.4893,357.1870
1762172641.6999,356.7500
1762172641.9111,356.4370
1762172642.1234,355.8750
1762172642.3488,355.4370
1762172642.5679,354.9370
1762172642.7874,354.5000
1762172643.0007,354.0620
1762172643.2223,353.7500
1762172643.4354,353.5000
1762172643.6487,353.4370
1762172643.8589,353.1870
1762172644.0710,352.8750
1762172644.2834,352.6870
1762172644.4956,352.5620
1762172644.7076,352.6250
1762172644.9274,352.6870
1762172645.1404,353.0000
1762172645.3518,353.3750
1762172645.5628,353.8750
1762172645.7743,354.3120
1762172645.9864,354.5000
1762172646.2003,354.5000
1762172646.4000,354.8120
1762172646.6264,354.9370
1762172646.8382,355.0620
1762172647.0517,355.3750
1762172647.2805,355.5620
1762172647.4930,355.6250
1762172647.7056,355.6250
1762172647.9211,355.7500
1762172648.1321,355.8120
1762172648.3649,356.0620
1762172648.6001,356.3120
1762172648.8132,356.3750
1762172649.0161,356.4370
1762172649.2261,356.7500
1762172649.4381,356.8750
1762172649.6449,357.1250
1762172649.8573,357.4370
1762172650.0776,357.6250
1762172650.2881,357.6870
1762172650.4904,357.6870
1762172650.7100,357.6870
1762172650.9221,357.6870
1762172651.1226,357.8750
1762172651.3521,358.0620
1762172651.5639,358.2500
1762172651.7765,358.4370
