ros_time_s,Lecturas_ValidasVerde
1762172582.7709,21.0000
1762172582.9376,18.0000
1762172583.0943,20.0000
1762172583.2780,20.0000
1762172583.4282,17.0000
1762172583.5825,18.0000
1762172583.7499,19.0000
1762172583.9131,20.0000
1762172584.0750,19.0000
1762172584.2537,20.0000
1762172584.4076,20.0000
1762172584.5827,19.0000
1762172584.7373,20.0000
1762172584.8918,21.0000
1762172585.0570,21.0000
1762172585.2167,21.0000
1762172585.3822,20.0000
1762172585.5611,19.0000
1762172585.7158,21.0000
1762172585.8741,20.0000
1762172586.0417,20.0000
1762172586.2202,19.0000
1762172586.3735,21.0000
1762172586.5493,20.0000
1762172586.7038,20.0000
1762172586.8794,21.0000
1762172587.0401,21.0000
1762172587.1989,20.0000
1762172587.3638,20.0000
1762172587.5421,20.0000
1762172587.6956,23.0000
1762172587.8645,22.0000
1762172588.0290,23.0000
1762172588.1880,21.0000
1762172588.3422,22.0000
1762172588.5134,21.0000
1762172588.6782,20.0000
1762172588.8415,20.0000
1762172589.0173,21.0000
1762172589.1682,25.0000
1762172589.3382,20.0000
1762172589.4925,19.0000
1762172589.6621,24.0000
1762172589.8389,23.0000
1762172589.9861,22.0000
1762172590.1692,21.0000
1762172590.3240,24.0000
1762172590.4819,23.0000
1762172590.6458,22.0000
1762172590.8132,21.0000
1762172590.9712,22.0000
1762172591.1509,22.0000
1762172591.3047,21.0000
1762172591.4599,21.0000
1762172591.6324,20.0000
1762172591.7885,20.0000
1762172591.9635,23.0000
1762172592.1170,22.0000
1762172592.2950,22.0000
1762172592.4488,22.0000
1762172592.6107,23.0000
1762172592.7810,22.0000
1762172592.9371,20.0000
1762172593.1166,22.0000
1762172593.2713,22.0000
1762172593.4237,19.0000
1762172593.5975,21.0000
1762172593.7673,19.0000
1762172593.9213,21.0000
1762172594.0841,24.0000
1762172594.2628,19.0000
1762172594.4174,22.0000
1762172594.5804,23.0000
1762172594.7340,21.0000
1762172594.9133,21.0000
1762172595.0669,21.0000
