ros_time_s,Lidar_Left
1762170821.7183,1.0541
1762170821.8729,1.0418
1762170822.0504,1.0527
1762170822.2038,1.0530
1762170822.3827,1.0842
1762170822.5372,1.0739
1762170822.7169,1.0928
1762170822.8700,1.0654
1762170823.0251,1.0858
1762170823.2020,1.0941
1762170823.3562,1.0852
1762170823.5357,1.0893
1762170823.6887,1.0890
1762170823.8682,1.1139
1762170824.0272,1.1018
1762170824.1831,1.0960
1762170824.3403,1.0822
1762170824.5183,1.1337
1762170824.6795,1.1297
1762170824.8567,1.1106
1762170825.0106,1.1028
1762170825.1733,1.1114
1762170825.3434,1.1012
1762170825.4978,1.0975
1762170825.6558,1.1173
1762170825.8354,1.1048
1762170825.9959,1.1188
1762170826.1753,1.1040
1762170826.3248,1.1044
1762170826.4876,1.1013
1762170826.6477,1.1137
1762170826.8106,1.1287
1762170826.9889,1.1178
1762170827.1454,1.0865
1762170827.3115,1.1219
1762170827.4860,1.0907
1762170827.6398,1.1110
1762170827.8126,1.1065
1762170827.9745,1.0424
1762170828.1302,1.0991
1762170828.2969,1.1162
1762170828.4748,1.1119
1762170828.6359,1.0913
1762170828.7941,1.0837
1762170828.9711,1.0888
1762170829.1253,1.0775
1762170829.2838,1.0919
1762170829.4484,1.0834
1762170829.6141,1.0928
1762170829.7950,1.0832
1762170829.9413,1.0754
1762170830.1222,1.1084
1762170830.2890,1.0972
1762170830.4451,1.1029
1762170830.6163,1.0817
1762170830.7814,1.1067
1762170830.9382,1.1082
1762170831.1119,1.0771
1762170831.2651,1.0700
1762170831.4246,1.0719
1762170831.5914,1.0942
1762170831.7712,1.0872
1762170831.9325,1.1106
1762170832.0860,1.1117
1762170832.2583,1.0973
1762170832.4223,1.1024
1762170832.5820,1.0745
1762170832.7573,1.1280
1762170832.9211,1.1155
1762170833.0798,1.0955
1762170833.2481,1.0963
1762170833.4021,1.1107
1762170833.5774,1.1172
1762170833.7423,1.1087
1762170833.9012,1.1182
1762170834.0606,1.0907
1762170834.2377,1.0896
1762170834.3914,1.1069
1762170834.5615,1.1058
1762170834.7319,1.0988
1762170834.8851,1.0978
1762170835.0428,1.0859
1762170835.2189,1.1071
1762170835.3839,1.0761
1762170835.5509,1.1070
1762170835.7176,1.1264
1762170835.8654,1.1192
1762170836.0422,1.1063
1762170836.2060,1.0938
1762170836.3784,1.1209
1762170836.5315,1.0990
1762170836.7048,1.0846
1762170836.8520,1.0977
1762170837.0283,1.0931
1762170837.1785,1.0802
1762170837.3484,1.0818
1762170837.5230,1.0796
1762170837.6825,1.1079
1762170837.8497,1.0922
1762170838.0046,1.0798
1762170838.1695,1.1088
1762170838.3362,1.0915
1762170838.5028,1.1154
1762170838.6758,1.0948
1762170838.8403,1.1164
1762170838.9952,1.1113
1762170839.1736,1.1186
1762170839.3221,1.1146
1762170839.4874,1.1374
1762170839.6660,1.1428
1762170839.8125,1.1445
1762170839.9958,1.1459
1762170840.1519,1.0958
1762170840.3043,1.1328
1762170840.4853,1.1078
1762170840.6378,1.1153
1762170840.8086,1.1295
1762170840.9761,1.0979
1762170841.1313,1.1008
1762170841.3088,1.1057
1762170841.4731,1.1162
1762170841.6163,1.0923
1762170841.7787,1.0811
1762170841.9498,1.0753
1762170842.1104,1.0825
1762170842.2886,1.0577
1762170842.4434,1.1020
1762170842.6234,1.0921
1762170842.7751,1.0865
1762170842.9488,1.0836
1762170843.1013,1.0924
1762170843.2707,1.0914
1762170843.4503,1.0955
1762170843.6155,1.0771
1762170843.7806,1.0992
1762170843.9437,1.0989
1762170844.0986,1.0973
1762170844.2605,1.1024
1762170844.4367,1.0911
1762170844.5886,1.0742
1762170844.7673,1.0971
1762170844.9308,1.0989
1762170845.0830,1.0949
1762170845.2531,1.0737
1762170845.4116,1.1117
1762170845.5898,1.1108
1762170845.7346,1.1082
1762170845.9134,1.0846
1762170846.0758,1.0864
1762170846.2385,1.1030
1762170846.3939,1.0654
1762170846.5674,1.0972
1762170846.7289,1.1140
1762170846.8835,1.0976
1762170847.0628,1.0995
1762170847.2166,1.1217
1762170847.3769,1.1371
1762170847.5342,1.1049
1762170847.7046,1.1222
1762170847.8588,1.1338
1762170848.0323,1.1283
1762170848.1917,1.1259
1762170848.3515,1.1176
1762170848.5191,1.1308
1762170848.6931,1.1328
1762170848.8525,1.1218
1762170849.0272,1.1052
1762170849.1800,1.1133
1762170849.3348,1.0840
1762170849.4987,1.0943
1762170849.6763,1.1082
1762170849.8272,1.0757
1762170849.9993,1.0760
1762170850.1592,1.0821
1762170850.3279,1.0837
1762170850.5002,1.0900
1762170850.6549,1.0886
1762170850.8100,1.0952
1762170850.9770,1.0851
1762170851.1452,1.0789
1762170851.3126,1.1201
1762170851.4661,1.0998
1762170851.6439,1.1089
1762170851.8025,1.0922
1762170851.9623,1.0978
1762170852.1235,1.0898
1762170852.3007,1.0957
1762170852.4559,1.0919
1762170852.6102,1.0918
1762170852.7893,1.1008
1762170852.9462,1.0817
1762170853.1022,1.0709
1762170853.2693,1.0674
1762170853.4412,1.1176
1762170853.6094,1.1040
1762170853.7627,1.1122
1762170853.9253,1.1090
1762170854.1029,1.1255
1762170854.2566,1.1194
1762170854.4193,1.1195
1762170854.5961,1.1281
1762170854.7516,1.1262
1762170854.9110,1.1190
1762170855.0885,1.1239
1762170855.2326,1.1280
1762170855.3926,1.0883
1762170855.5713,1.1116
1762170855.7266,1.0931
1762170855.9046,1.1058
1762170856.0682,1.0951
1762170856.2227,1.1092
1762170856.3797,1.1081
1762170856.5386,1.1237
1762170856.7140,1.1052
1762170856.8675,1.0936
1762170857.0480,1.0907
1762170857.2073,1.0938
1762170857.3616,1.1090
1762170857.5407,1.1068
1762170857.6930,1.1157
1762170857.8525,1.1153
1762170858.0295,1.1103
1762170858.1854,1.1085
1762170858.3459,1.0931
1762170858.5175,1.1071
1762170858.6919,1.0797
1762170858.8465,1.0849
1762170859.0158,1.0581
1762170859.1699,1.0758
1762170859.3396,1.0663
1762170859.4994,1.0756
1762170859.6614,1.0956
1762170859.8315,1.0563
1762170859.9852,1.0895
1762170860.1522,1.0793
1762170860.3128,1.0723
1762170860.4792,1.0689
1762170860.6495,1.0699
1762170860.8033,1.0809
1762170860.9817,1.0570
1762170861.1357,1.0653
1762170861.3024,1.0709
1762170861.4604,1.0555
1762170861.6250,1.0766
1762170861.7929,1.0633
1762170861.9486,1.0544
1762170862.1151,1.0557
1762170862.2749,1.0579
1762170862.4435,1.0706
1762170862.6104,1.0617
1762170862.7669,1.0712
1762170862.9395,1.0495
1762170863.0927,1.0774
1762170863.2699,1.0566
1762170863.4269,1.0974
1762170863.5870,1.0949
1762170863.7505,1.0566
1762170863.9057,1.0519
1762170864.0832,1.1008
1762170864.2387,1.0641
1762170864.3913,1.0965
1762170864.5709,1.0751
1762170864.7304,1.0766
1762170864.9039,1.0649
1762170865.0675,1.0713
1762170865.2200,1.1019
1762170865.3940,1.0847
1762170865.5584,1.0462
1762170865.7222,1.0864
1762170865.8716,1.0591
1762170866.0363,1.0716
1762170866.1954,1.0431
1762170866.3703,1.0747
1762170866.5348,1.1122
1762170866.6843,1.0867
1762170866.8547,1.0779
1762170867.0148,1.1055
1762170867.1808,1.0965
1762170867.3623,1.0969
1762170867.5100,1.1162
1762170867.6771,1.0940
1762170867.8410,1.1078
1762170868.0179,1.1130
1762170868.1656,1.1181
1762170868.3457,1.1204
1762170868.4984,1.1114
1762170868.6757,1.1169
1762170868.8313,1.1296
1762170868.9961,1.1205
1762170869.1689,1.1044
1762170869.3370,1.1026
1762170869.4906,1.1112
1762170869.6685,1.0758
1762170869.8118,1.1207
1762170869.9787,1.1105
1762170870.1638,1.1226
1762170870.3179,1.1014
1762170870.4709,1.1108
1762170870.6393,1.1178
1762170870.8132,1.1063
1762170870.9680,1.1102
1762170871.1523,1.1132
1762170871.3067,1.1050
1762170871.4631,1.1050
1762170871.6419,1.1127
1762170871.7902,1.1317
1762170871.9675,1.1219
1762170872.1401,1.1079
1762170872.3010,1.1201
1762170872.4541,1.1352
1762170872.6328,1.1107
1762170872.7939,1.1135
1762170872.9503,1.0973
1762170873.1293,1.1098
1762170873.2823,1.1283
1762170873.4382,1.1109
1762170873.6166,1.1072
1762170873.7729,1.1153
1762170873.9527,1.1201
1762170874.1062,1.1355
1762170874.2607,1.1446
1762170874.4400,1.1069
1762170874.5933,1.1376
1762170874.7757,1.0842
1762170874.9288,1.1004
1762170875.0828,1.1142
1762170875.2690,1.0943
1762170875.4231,1.1099
1762170875.5767,1.0532
1762170875.7452,1.0805
1762170875.9034,1.0737
1762170876.0818,1.0577
1762170876.2525,1.0604
1762170876.4082,1.0826
1762170876.5775,1.0549
1762170876.7437,1.0227
1762170876.9928,1.0661
1762170877.1475,1.0556
1762170877.3251,1.0890
1762170877.4649,1.0692
1762170877.6451,1.0417
1762170877.7982,1.0504
1762170877.9826,1.0894
1762170878.1361,1.0457
1762170878.3098,1.0678
1762170878.4646,1.1073
1762170878.6350,1.0822
1762170878.8028,1.1215
1762170878.9563,1.1130
1762170879.1308,1.1036
1762170879.2947,1.1232
1762170879.4390,1.1053
1762170879.6257,1.1157
1762170879.7785,1.1161
1762170879.9525,1.0973
1762170880.1002,1.1111
1762170880.2799,1.1688
1762170880.4301,1.1386
1762170880.5874,1.1326
1762170880.7727,1.1523
1762170880.9266,1.1503
1762170881.0796,1.1305
1762170881.2612,1.1776
1762170881.4127,1.1618
1762170881.5813,1.1316
1762170881.7623,1.1114
1762170881.9253,1.1068
1762170882.0688,1.0530
1762170882.2511,1.0767
1762170882.4036,1.0631
1762170882.5831,1.0320
1762170882.7460,1.0518
1762170882.8979,1.0343
1762170883.0747,1.0244
1762170883.2298,1.0498
1762170883.3836,1.0561
1762170883.5624,1.0621
1762170883.7176,1.0903
1762170883.8965,1.0625
1762170884.0507,1.0596
1762170884.2215,1.0462
1762170884.3874,1.0555
1762170884.5421,1.0511
1762170884.7184,1.0535
1762170884.8731,1.0863
1762170885.0415,1.0352
1762170885.1944,1.0278
1762170885.3680,1.0830
1762170885.5238,1.0746
1762170885.6916,1.0392
1762170885.8505,1.0393
1762170886.0147,1.0225
1762170886.1822,1.0382
1762170886.3496,1.0384
1762170886.5069,1.0430
1762170886.6641,1.0592
1762170886.8434,1.0713
1762170887.0136,1.0764
1762170887.1675,1.0845
1762170887.3238,1.0859
1762170887.5051,1.0711
1762170887.6685,1.0842
1762170887.8222,1.0452
1762170888.0008,1.0493
1762170888.1469,1.0453
1762170888.3247,1.0434
1762170888.4829,1.0881
1762170888.6380,1.0598
1762170888.8146,1.0851
1762170888.9692,1.0995
1762170889.1458,1.0645
1762170889.3120,1.0766
1762170889.4671,1.0607
1762170889.6377,1.0588
1762170889.7895,1.0423
1762170889.9547,1.0471
1762170890.1358,1.0538
1762170890.2880,1.0524
1762170890.4649,1.0669
1762170890.6201,1.0743
1762170890.7758,1.0806
1762170890.9462,1.0756
1762170891.1135,1.0980
1762170891.2764,1.0997
1762170891.4333,1.0988
1762170891.6071,1.1107
1762170891.7619,1.0936
1762170891.9372,1.0759
1762170892.0977,1.0934
1762170892.2646,1.0450
1762170892.4201,1.0707
1762170892.5994,1.1015
1762170892.7591,1.0353
1762170892.9144,1.1367
1762170893.0958,1.1399
1762170893.2537,1.1173
1762170893.4168,1.0833
1762170893.5760,1.1040
1762170893.7518,1.1343
1762170893.9178,1.1055
1762170894.0728,1.1455
1762170894.2439,1.1073
1762170894.4042,1.1247
1762170894.5603,1.0998
1762170894.7369,1.1304
1762170894.8910,1.1495
1762170895.0456,1.1170
1762170895.2169,1.1167
1762170895.3931,1.0890
1762170895.5436,1.0959
1762170895.7248,1.0601
1762170895.8839,1.0562
1762170896.0369,1.0447
1762170896.2152,1.0221
1762170896.3635,0.9988
1762170896.5265,1.0331
1762170896.6909,1.0416
