ros_time_s,Lecturas_ValidasVerde
1762170810.1662,23.0000
1762170810.3466,20.0000
1762170810.5116,23.0000
1762170810.6592,24.0000
1762170810.8244,22.0000
1762170810.9972,24.0000
1762170811.1508,21.0000
1762170811.3379,24.0000
1762170811.4917,21.0000
1762170811.6487,22.0000
1762170811.8292,23.0000
1762170811.9818,23.0000
1762170812.1502,25.0000
1762170812.3294,24.0000
1762170812.4848,21.0000
1762170812.6389,21.0000
1762170812.8047,22.0000
1762170812.9744,20.0000
1762170813.1424,21.0000
1762170813.3169,20.0000
1762170813.4678,22.0000
1762170813.6229,22.0000
1762170813.8063,19.0000
1762170813.9605,21.0000
1762170814.1190,20.0000
1762170814.2830,20.0000
1762170814.4602,23.0000
1762170814.6157,23.0000
1762170814.7772,23.0000
1762170814.9452,21.0000
1762170815.1260,22.0000
1762170815.2818,24.0000
1762170815.4419,23.0000
1762170815.6266,21.0000
1762170815.7754,22.0000
1762170815.9429,22.0000
1762170816.1173,22.0000
1762170816.2610,21.0000
1762170816.4382,23.0000
1762170816.6067,22.0000
1762170816.7761,20.0000
1762170816.9303,23.0000
1762170817.0884,24.0000
1762170817.2660,24.0000
1762170817.4262,22.0000
1762170817.6033,19.0000
1762170817.7581,22.0000
1762170817.9141,22.0000
1762170818.0846,22.0000
1762170818.2409,22.0000
1762170818.4203,24.0000
1762170818.5746,24.0000
1762170818.7395,23.0000
1762170818.9106,23.0000
1762170819.0803,22.0000
1762170819.2357,23.0000
1762170819.4138,23.0000
1762170819.5655,22.0000
1762170819.7422,21.0000
1762170819.9053,20.0000
1762170820.0613,20.0000
1762170820.2399,23.0000
1762170820.3957,24.0000
1762170820.5721,24.0000
1762170820.7265,21.0000
1762170820.8859,22.0000
1762170821.0580,22.0000
1762170821.2189,20.0000
1762170821.3922,23.0000
1762170821.5474,21.0000
1762170821.7183,22.0000
1762170821.8729,24.0000
1762170822.0504,22.0000
1762170822.2038,21.0000
1762170822.3827,21.0000
1762170822.5372,22.0000
1762170822.7169,23.0000
1762170822.8700,22.0000
1762170823.0251,24.0000
1762170823.2020,25.0000
1762170823.3562,24.0000
1762170823.5357,23.0000
1762170823.6887,27.0000
1762170823.8682,20.0000
1762170824.0272,23.0000
1762170824.1831,24.0000
1762170824.3403,20.0000
1762170824.5183,25.0000
1762170824.6795,25.0000
1762170824.8567,22.0000
1762170825.0106,21.0000
1762170825.1733,23.0000
1762170825.3434,21.0000
1762170825.4978,21.0000
1762170825.6558,20.0000
1762170825.8354,22.0000
1762170825.9959,20.0000
1762170826.1753,21.0000
1762170826.3248,20.0000
1762170826.4876,20.0000
1762170826.6477,20.0000
1762170826.8106,21.0000
1762170826.9889,20.0000
1762170827.1454,20.0000
1762170827.3115,22.0000
1762170827.4860,22.0000
1762170827.6398,20.0000
1762170827.8126,19.0000
1762170827.9745,23.0000
1762170828.1302,20.0000
1762170828.2969,22.0000
1762170828.4748,22.0000
1762170828.6359,20.0000
1762170828.7941,22.0000
1762170828.9711,22.0000
1762170829.1253,20.0000
1762170829.2838,22.0000
1762170829.4484,22.0000
1762170829.6141,22.0000
1762170829.7950,23.0000
1762170829.9413,22.0000
1762170830.1222,20.0000
1762170830.2890,22.0000
1762170830.4451,23.0000
1762170830.6163,19.0000
1762170830.7814,21.0000
1762170830.9382,22.0000
1762170831.1119,20.0000
1762170831.2651,22.0000
1762170831.4246,23.0000
1762170831.5914,20.0000
1762170831.7712,19.0000
1762170831.9325,20.0000
1762170832.0860,21.0000
1762170832.2583,19.0000
1762170832.4223,20.0000
1762170832.5820,22.0000
1762170832.7573,22.0000
1762170832.9211,22.0000
1762170833.0798,21.0000
1762170833.2481,21.0000
1762170833.4021,22.0000
1762170833.5774,25.0000
1762170833.7423,21.0000
1762170833.9012,24.0000
1762170834.0606,19.0000
1762170834.2377,22.0000
1762170834.3914,22.0000
1762170834.5615,20.0000
1762170834.7319,24.0000
1762170834.8851,24.0000
1762170835.0428,24.0000
1762170835.2189,20.0000
1762170835.3839,23.0000
1762170835.5509,22.0000
1762170835.7176,21.0000
1762170835.8654,21.0000
1762170836.0422,22.0000
1762170836.2060,22.0000
1762170836.3784,21.0000
1762170836.5315,23.0000
1762170836.7048,21.0000
1762170836.8520,23.0000
1762170837.0283,21.0000
1762170837.1785,22.0000
1762170837.3484,22.0000
1762170837.5230,20.0000
1762170837.6825,24.0000
1762170837.8497,22.0000
1762170838.0046,23.0000
1762170838.1695,21.0000
1762170838.3362,25.0000
1762170838.5028,24.0000
1762170838.6758,19.0000
1762170838.8403,21.0000
1762170838.9952,20.0000
1762170839.1736,23.0000
1762170839.3221,19.0000
1762170839.4874,21.0000
1762170839.6660,23.0000
1762170839.8125,22.0000
1762170839.9958,21.0000
1762170840.1519,19.0000
1762170840.3043,21.0000
1762170840.4853,22.0000
1762170840.6378,23.0000
1762170840.8086,23.0000
1762170840.9761,20.0000
1762170841.1313,21.0000
1762170841.3088,18.0000
1762170841.4731,23.0000
1762170841.6163,23.0000
1762170841.7787,22.0000
1762170841.9498,22.0000
1762170842.1104,20.0000
1762170842.2886,17.0000
1762170842.4434,21.0000
1762170842.6234,18.0000
1762170842.7751,21.0000
1762170842.9488,18.0000
1762170843.1013,21.0000
1762170843.2707,18.0000
1762170843.4503,20.0000
1762170843.6155,17.0000
1762170843.7806,20.0000
1762170843.9437,18.0000
1762170844.0986,20.0000
1762170844.2605,21.0000
1762170844.4367,23.0000
1762170844.5886,23.0000
1762170844.7673,21.0000
1762170844.9308,21.0000
1762170845.0830,20.0000
1762170845.2531,22.0000
1762170845.4116,22.0000
1762170845.5898,22.0000
1762170845.7346,21.0000
1762170845.9134,20.0000
1762170846.0758,22.0000
1762170846.2385,22.0000
1762170846.3939,20.0000
1762170846.5674,20.0000
1762170846.7289,22.0000
1762170846.8835,23.0000
1762170847.0628,23.0000
1762170847.2166,21.0000
1762170847.3769,23.0000
1762170847.5342,22.0000
1762170847.7046,20.0000
1762170847.8588,20.0000
