ros_time_s,imu_heading
1762170921.8299,358.7500
1762170922.0419,359.0000
1762170922.2459,359.0620
1762170922.4743,358.9370
1762170922.6872,358.8120
1762170922.8998,358.7500
1762170923.1088,358.8750
1762170923.3212,359.0620
1762170923.5423,359.2500
1762170923.7529,359.5000
1762170923.9658,359.6870
1762170924.1680,0.0000
1762170924.3820,0.1250
1762170924.5939,0.3750
1762170924.8048,0.6870
1762170925.0067,0.8750
1762170925.2231,1.1250
1762170925.4496,1.5000
1762170925.6620,1.6870
1762170925.8701,2.0000
1762170926.0818,2.1880
1762170926.2945,2.3750
1762170926.4957,2.4380
1762170926.6973,2.5630
1762170926.8980,2.5630
1762170927.0967,2.6880
1762170927.2972,2.6880
1762170927.4980,2.3750
1762170927.7006,1.9370
1762170927.8993,1.2500
1762170928.1000,1.5000
1762170928.3005,1.3750
1762170928.4988,1.2500
1762170928.7006,1.3120
1762170928.9014,1.3120
1762170929.0996,1.2500
1762170929.3011,0.8750
1762170929.5009,0.3120
1762170929.7009,359.4370
1762170929.9011,358.2500
1762170930.1031,352.3750
1762170930.3038,344.6870
1762170930.5036,339.8750
1762170930.7050,339.0000
1762170930.9038,338.5000
1762170931.1044,338.1870
1762170931.3038,338.0000
1762170931.5054,337.6250
1762170931.7058,337.1250
1762170931.9065,336.2500
1762170932.1068,336.4370
1762170932.3070,337.1250
1762170932.5067,337.8120
1762170932.7065,337.9370
1762170932.9063,337.7500
1762170933.1067,337.3120
1762170933.3076,336.4370
1762170933.5081,335.5620
1762170933.7075,334.9370
1762170933.9080,334.5620
1762170934.1083,334.7500
1762170934.3076,335.1250
1762170934.5082,335.3120
1762170934.7083,335.3750
1762170934.9094,334.8750
1762170935.1094,334.5000
1762170935.3099,334.1870
1762170935.5106,334.5000
1762170935.7112,334.5620
1762170935.9108,334.6250
1762170936.1124,333.9370
1762170936.3132,333.1870
1762170936.5136,332.8120
1762170936.7145,332.6250
1762170936.9153,332.5620
1762170937.1161,333.3750
1762170937.3166,334.1870
1762170937.5166,334.8750
1762170937.7176,334.8750
1762170937.9183,334.5620
1762170938.1185,333.8750
1762170938.3191,332.9370
1762170938.5183,332.3750
1762170938.7195,331.8120
1762170938.9200,330.9370
1762170939.1216,330.8120
1762170939.3228,330.5000
1762170939.5233,330.1250
1762170939.7230,330.0000
1762170939.9241,329.8120
1762170940.1244,329.7500
1762170940.3254,329.5000
1762170940.5263,329.3750
1762170940.7253,329.3750
1762170940.9268,328.7500
1762170941.1628,328.6870
1762170941.3742,328.4370
1762170941.5871,328.0000
1762170941.8002,327.6870
1762170942.0002,327.1870
1762170942.1999,326.5000
1762170942.4001,325.8120
1762170942.6009,325.1250
1762170942.8029,325.2500
1762170943.0031,325.0000
1762170943.2028,324.8120
1762170943.4028,324.3750
1762170943.6027,324.3750
1762170943.8030,323.9370
1762170944.0040,323.3750
1762170944.2040,322.7500
1762170944.4055,321.5000
1762170944.6063,320.2500
1762170944.8065,319.4370
1762170945.0070,317.8750
1762170945.2067,315.8750
1762170945.4060,315.5620
1762170945.6062,314.9370
1762170945.8075,314.3750
1762170946.0083,313.5000
1762170946.2077,312.5000
1762170946.4087,311.2500
1762170946.6087,309.3120
1762170946.8093,306.3750
1762170947.0088,304.8750
1762170947.2088,303.2500
1762170947.4087,303.0000
1762170947.6085,302.6870
1762170947.8087,302.2500
1762170948.0088,301.3750
1762170948.2088,300.5000
1762170948.4086,299.3120
1762170948.6093,298.0000
1762170948.8096,296.5000
1762170949.0094,294.4370
1762170949.2102,293.0620
1762170949.4114,291.4370
1762170949.6115,290.1250
1762170949.8118,289.3120
1762170950.0133,288.6250
1762170950.2131,287.8120
1762170950.4143,287.5620
1762170950.6145,287.2500
1762170950.8150,286.8120
1762170951.0152,286.1870
1762170951.2156,285.6870
1762170951.4156,285.3120
1762170951.6154,284.6870
1762170951.8156,283.8120
1762170952.0164,282.8120
1762170952.2172,281.8750
1762170952.4176,281.0620
1762170952.6185,280.4370
1762170952.8192,279.8120
1762170953.0194,279.1870
1762170953.2207,278.5620
1762170953.4211,277.8120
1762170953.6201,277.1870
1762170953.8206,276.5620
1762170954.0215,275.6870
1762170954.2223,274.8120
1762170954.4229,274.1870
1762170954.6224,273.3750
1762170954.8227,272.4370
1762170955.0227,271.6870
1762170955.2234,271.0620
1762170955.4233,270.2500
1762170955.6238,269.5620
1762170955.8241,268.8750
1762170956.0244,267.9370
1762170956.2254,267.1870
