ros_time_s,Imu_Error_yaw
1762170911.0969,0.1015
1762170911.2504,0.0894
1762170911.4274,0.0894
1762170911.5890,0.0775
1762170911.7419,0.0753
1762170911.8961,0.0731
1762170912.0695,0.0731
1762170912.2423,0.0655
1762170912.3959,0.0611
1762170912.5554,0.0513
1762170912.7344,0.0513
1762170912.8898,0.0426
1762170913.0636,0.0382
1762170913.2190,0.0338
1762170913.3742,0.0316
1762170913.5512,0.0316
1762170913.7121,0.0218
1762170913.8668,0.0131
1762170914.0456,0.0022
1762170914.1995,0.0022
1762170914.3786,-0.0076
1762170914.5336,-0.0175
1762170914.6882,-0.0218
1762170914.8651,-0.0218
1762170915.0192,-0.0229
1762170915.1863,-0.0218
1762170915.3410,-0.0229
1762170915.5189,-0.0240
1762170915.6758,-0.0240
1762170915.8452,-0.0251
1762170915.9996,-0.0240
1762170916.1774,-0.0240
1762170916.3324,-0.0240
1762170916.4860,-0.0240
1762170916.6621,-0.0251
1762170916.8186,-0.0229
1762170916.9744,-0.0207
1762170917.1350,-0.0207
1762170917.3132,-0.0185
1762170917.4812,-0.0142
1762170917.6406,-0.0087
1762170917.7956,-0.0087
1762170917.9676,0.0000
1762170918.1235,0.0076
1762170918.3003,0.0175
1762170918.4545,0.0175
1762170918.6076,0.0327
1762170918.7816,0.0426
1762170918.9407,0.0480
1762170919.1077,0.0480
1762170919.2665,0.0545
1762170919.4464,0.0633
1762170919.5989,0.0709
1762170919.7524,0.0720
1762170919.9329,0.0720
1762170920.0861,0.0720
1762170920.2511,0.0720
1762170920.4155,0.0709
1762170920.5833,0.0720
1762170920.7471,0.0720
1762170920.9096,0.0698
1762170921.0646,0.0665
1762170921.2320,0.0600
1762170921.4101,0.0600
1762170921.5652,0.0524
1762170921.7187,0.0426
1762170921.8757,0.0316
1762170922.0533,0.0316
1762170922.2065,0.0218
1762170922.3860,0.0175
1762170922.5399,0.0164
1762170922.6941,0.0164
1762170922.8526,0.0186
1762170923.0314,0.0207
1762170923.1862,0.0218
1762170923.3500,0.0218
1762170923.5236,0.0196
1762170923.6857,0.0164
1762170923.8382,0.0131
1762170923.9978,0.0087
1762170924.1748,0.0087
1762170924.3305,0.0055
1762170924.4889,0.0000
1762170924.6651,-0.0022
1762170924.8214,-0.0022
1762170924.9960,-0.0065
1762170925.1359,-0.0120
1762170925.3142,-0.0153
1762170925.4685,-0.0196
1762170925.6441,-0.0196
1762170925.8121,-0.0262
1762170925.9561,-0.0294
1762170926.1426,3.1067
1762170926.2882,3.1067
1762170926.4666,3.1034
1762170926.6211,3.1001
1762170926.7776,3.0990
1762170926.9546,3.0969
1762170927.1196,3.0969
1762170927.2767,3.0969
1762170927.4323,3.0947
1762170927.6044,3.0947
1762170927.7791,3.1001
1762170927.9327,3.1001
1762170928.0859,3.1078
1762170928.2580,3.1198
1762170928.4141,3.1154
1762170928.5958,3.1176
1762170928.7497,3.1176
1762170928.9015,3.1198
1762170929.0905,3.1187
1762170929.2465,3.1187
1762170929.4017,3.1198
1762170929.5775,3.1263
1762170929.7311,3.1263
1762170929.9072,3.1361
1762170930.0737,-3.1318
1762170930.2199,-3.1110
1762170930.3855,-3.0085
1762170930.5570,-2.8743
1762170930.7387,-2.8743
1762170930.8830,-2.7903
1762170931.0476,-2.7751
1762170931.2152,-2.7663
1762170931.3928,-2.7609
1762170931.5434,-2.7576
1762170931.7270,-2.7576
1762170931.8864,-2.7511
1762170932.0331,-2.7423
1762170932.1994,-2.7271
1762170932.3790,-2.7303
1762170932.5283,-2.7303
1762170932.6884,-2.7423
1762170932.8652,-2.7543
1762170933.0218,-2.7565
1762170933.1985,-2.7533
1762170933.3526,-2.7533
1762170933.5058,-2.7456
1762170933.6869,-2.7303
1762170933.8551,-2.7151
1762170934.0092,-2.7042
1762170934.1628,-2.6976
1762170934.3470,-2.6976
1762170934.5001,-2.7009
1762170934.6541,-2.7074
1762170934.8342,-2.7107
1762170934.9883,-2.7118
1762170935.1655,-2.7031
1762170935.3196,-2.7031
1762170935.4992,-2.6965
1762170935.6517,-2.6911
1762170935.8057,-2.6965
1762170935.9856,-2.6976
1762170936.1469,-2.6976
1762170936.3209,-2.6987
1762170936.4726,-2.6867
1762170936.6506,-2.6736
1762170936.8032,-2.6671
1762170936.9565,-2.6638
1762170937.1259,-2.6638
1762170937.3040,-2.6627
1762170937.4681,-2.6769
1762170937.6232,-2.6911
1762170937.7762,-2.7031
1762170937.9534,-2.7031
1762170938.1078,-2.7031
1762170938.2875,-2.6976
1762170938.4395,-2.6856
1762170938.6036,-2.6693
1762170938.7841,-2.6693
1762170938.9534,-2.6594
1762170939.1114,-2.6496
1762170939.2651,-2.6343
1762170939.4450,-2.6322
1762170939.6064,-2.6267
1762170939.7607,-2.6202
1762170939.9297,-2.6202
1762170940.0932,-2.6180
1762170940.2710,-2.6147
1762170940.4250,-2.6136
1762170940.6033,-2.6093
1762170940.7475,-2.6093
1762170940.9188,-2.6071
1762170941.0834,-2.6071
1762170941.2629,-2.5962
1762170941.4176,-2.5962
1762170941.5952,-2.5951
1762170941.7490,-2.5907
1762170941.9158,-2.5831
1762170942.0700,-2.5776
1762170942.2472,-2.5776
1762170942.4221,-2.5689
1762170942.5848,-2.5569
1762170942.9102,-2.5329
1762170943.0675,-2.5351
1762170943.2464,-2.5351
1762170943.4003,-2.5307
1762170943.5586,-2.5274
1762170943.7387,-2.5198
1762170943.8912,-2.5198
1762170944.0698,-2.5122
1762170944.2261,-2.5122
1762170944.4035,-2.5024
1762170944.8801,-2.4478
1762170945.0514,-2.4478
1762170945.2252,-2.4336
1762170945.3772,-2.4064
1762170945.5424,-2.3715
1762170945.7158,-2.3660
1762170945.8711,-2.3551
1762170946.0485,-2.3551
1762170946.2027,-2.3453
1762170946.3836,-2.3300
1762170946.5373,-2.3126
1762170946.6999,-2.2907
1762170946.8619,-2.2569
1762170947.0302,-2.2569
1762170947.1993,-2.2057
1762170947.3607,-2.1795
1762170947.5164,-2.1511
1762170947.6894,-2.1468
1762170947.8501,-2.1413
1762170948.0195,-2.1413
1762170948.1893,-2.1337
1762170948.3493,-2.1184
1762170948.5154,-2.1031
1762170948.6878,-2.0824
1762170948.8468,-2.0824
1762170949.0090,-2.0595
1762170949.1652,-2.0333
1762170949.3344,-1.9973
1762170949.4998,-1.9733
1762170949.6659,-1.9733
1762170949.8348,-1.9449
1762170949.9958,-1.9220
1762170950.1619,-1.9079
1762170950.3302,-1.8959
1762170950.4936,-1.8817
1762170950.6650,-1.8773
1762170950.8191,-1.8773
1762170950.9949,-1.8719
1762170951.1535,-1.8642
1762170951.3098,-1.8533
1762170951.4888,-1.8446
1762170951.6424,-1.8446
1762170951.8205,-1.8380
1762170951.9752,-1.8271
1762170952.1531,-1.8119
1762170952.3073,-1.7944
1762170952.4623,-1.7781
1762170952.6399,-1.7781
1762170952.8016,-1.7639
1762170952.9565,-1.7530
1762170953.1259,-1.7420
1762170953.2795,-1.7311
1762170953.4561,-1.7311
1762170953.6119,-1.7202
1762170953.7900,-1.7071
1762170953.9442,-1.6962
1762170954.1232,-1.6853
1762170954.2764,-1.6853
1762170954.4306,-1.6701
1762170954.6089,-1.6548
1762170954.7639,-1.6439
1762170954.9419,-1.6297
1762170955.0961,-1.6133
1762170955.2765,-1.6133
1762170955.4292,-1.6002
1762170955.6078,-1.5893
1762170955.7634,-1.5752
1762170955.9232,-1.5632
1762170956.1007,-1.5512
1762170956.2596,-1.5512
1762170956.4133,-1.5348
1762170956.5790,-1.5217
1762170956.7583,-1.5075
1762170956.9121,-1.4933
1762170957.0664,-1.4835
1762170957.2381,-1.4835
1762170957.3958,-1.4737
1762170957.5759,-1.4650
1762170957.7292,-1.4552
1762170957.8860,-1.4443
1762170958.0626,-1.4443
1762170958.2170,-1.4312
1762170958.3840,-1.4192
1762170958.5380,-1.4072
1762170958.7112,-1.3941
1762170958.8642,-1.3810
1762170959.0405,-1.3810
