ros_time_s,Lecturas_ValidasRojo
1762169662.7253,0.0000
1762169662.9156,0.0000
1762169663.0780,0.0000
1762169663.2315,0.0000
1762169663.4118,0.0000
1762169663.5633,0.0000
1762169663.7414,0.0000
1762169663.8985,0.0000
1762169664.0541,0.0000
1762169664.2338,0.0000
1762169664.4058,0.0000
1762169664.5724,0.0000
1762169664.7248,0.0000
1762169664.8883,0.0000
1762169665.0675,0.0000
1762169665.2194,0.0000
1762169665.3985,0.0000
1762169665.5529,0.0000
1762169665.7311,0.0000
1762169665.8915,0.0000
1762169666.0600,0.0000
1762169666.2172,0.0000
1762169666.3949,0.0000
1762169666.5489,0.0000
1762169666.7285,0.0000
1762169666.8832,0.0000
1762169667.0538,0.0000
1762169667.2115,0.0000
1762169667.3867,0.0000
1762169667.5465,0.0000
1762169667.7226,0.0000
1762169667.8753,0.0000
1762169668.0482,0.0000
1762169668.2075,0.0000
1762169668.3823,0.0000
1762169668.5539,0.0000
1762169668.7044,0.0000
1762169668.8839,0.0000
1762169669.0384,0.0000
1762169669.2109,0.0000
1762169669.3904,0.0000
1762169669.5440,0.0000
1762169669.7075,0.0000
1762169669.8782,0.0000
1762169670.0382,0.0000
1762169670.2128,0.0000
1762169670.3744,0.0000
1762169670.5388,0.0000
1762169670.6977,0.0000
1762169670.8787,0.0000
1762169671.0344,0.0000
1762169671.2040,0.0000
1762169671.3739,0.0000
1762169671.5321,0.0000
1762169671.7079,0.0000
1762169671.8671,0.0000
1762169672.0315,0.0000
1762169672.2075,0.0000
1762169672.3612,0.0000
1762169672.5252,0.0000
1762169672.6930,0.0000
1762169672.8581,0.0000
1762169673.0230,0.0000
1762169673.1913,0.0000
1762169673.3455,0.0000
1762169673.5222,0.0000
1762169673.6872,0.0000
1762169673.8402,0.0000
1762169674.0201,0.0000
1762169674.1824,0.0000
1762169674.3484,0.0000
1762169674.5168,0.0000
1762169674.6690,0.0000
1762169674.8495,0.0000
1762169675.0030,0.0000
1762169675.1814,0.0000
1762169675.3345,0.0000
1762169675.5134,0.0000
1762169675.6781,0.0000
1762169675.8349,0.0000
1762169675.9984,0.0000
1762169676.1741,0.0000
1762169676.3340,0.0000
1762169676.4892,0.0000
1762169676.6727,0.0000
1762169676.8299,0.0000
1762169676.9954,0.0000
1762169677.1669,0.0000
1762169677.3319,1.0000
1762169677.4867,1.0000
1762169677.6705,1.0000
