ros_time_s,Lecturas_ValidasVerde
1762169657.7531,20.0000
1762169657.9082,25.0000
1762169658.0855,24.0000
1762169658.2396,19.0000
1762169658.4145,20.0000
1762169658.5933,23.0000
1762169658.7407,22.0000
1762169658.9090,20.0000
1762169659.0867,24.0000
1762169659.2431,20.0000
1762169659.4262,22.0000
1762169659.5807,23.0000
1762169659.7604,19.0000
1762169659.9147,21.0000
1762169660.0693,21.0000
1762169660.2574,21.0000
1762169660.4111,22.0000
1762169660.5901,20.0000
1762169660.7460,22.0000
1762169660.9004,23.0000
1762169661.0759,23.0000
1762169661.2387,23.0000
1762169661.4190,24.0000
1762169661.5733,23.0000
1762169661.7520,22.0000
1762169661.9059,22.0000
1762169662.0766,21.0000
1762169662.2321,21.0000
1762169662.4153,22.0000
1762169662.5708,21.0000
1762169662.7243,21.0000
1762169662.9132,18.0000
1762169663.0771,22.0000
1762169663.2304,20.0000
1762169663.4102,24.0000
1762169663.5618,20.0000
1762169663.7402,24.0000
1762169663.8968,23.0000
1762169664.0529,23.0000
1762169664.2326,23.0000
1762169664.4044,22.0000
1762169664.5709,22.0000
1762169664.7240,20.0000
1762169664.8870,21.0000
1762169665.0656,20.0000
1762169665.2183,20.0000
1762169665.3973,20.0000
1762169665.5517,19.0000
1762169665.7300,23.0000
1762169665.8901,22.0000
1762169666.0585,22.0000
1762169666.2159,23.0000
1762169666.3935,23.0000
1762169666.5478,21.0000
1762169666.7278,21.0000
1762169666.8821,20.0000
1762169667.0524,23.0000
1762169667.2102,21.0000
1762169667.3854,23.0000
1762169667.5449,23.0000
1762169667.7213,23.0000
1762169667.8741,23.0000
1762169668.0456,22.0000
1762169668.2064,24.0000
1762169668.3811,24.0000
1762169668.5523,23.0000
1762169668.7033,24.0000
1762169668.8819,23.0000
1762169669.0372,26.0000
1762169669.2095,23.0000
1762169669.3889,23.0000
1762169669.5430,24.0000
1762169669.7063,23.0000
1762169669.8773,24.0000
1762169670.0374,23.0000
1762169670.2112,23.0000
1762169670.3725,21.0000
1762169670.5378,24.0000
1762169670.6955,22.0000
1762169670.8778,23.0000
1762169671.0327,23.0000
1762169671.2028,22.0000
1762169671.3722,22.0000
1762169671.5311,21.0000
1762169671.7061,22.0000
1762169671.8654,20.0000
1762169672.0296,21.0000
1762169672.2060,22.0000
1762169672.3598,23.0000
1762169672.5245,21.0000
1762169672.6915,21.0000
1762169672.8568,21.0000
1762169673.0218,22.0000
1762169673.1900,21.0000
1762169673.3442,21.0000
1762169673.5214,22.0000
1762169673.6858,19.0000
1762169673.8390,23.0000
1762169674.0192,22.0000
1762169674.1808,21.0000
1762169674.3473,23.0000
1762169674.5157,20.0000
1762169674.6676,23.0000
1762169674.8484,22.0000
1762169675.0019,22.0000
1762169675.1803,22.0000
1762169675.3337,22.0000
1762169675.5116,24.0000
1762169675.6772,22.0000
1762169675.8336,21.0000
1762169675.9970,21.0000
1762169676.1732,22.0000
1762169676.3332,23.0000
1762169676.4881,21.0000
1762169676.6717,20.0000
1762169676.8289,19.0000
1762169676.9940,21.0000
1762169677.1653,22.0000
1762169677.3308,22.0000
1762169677.4855,23.0000
1762169677.6692,23.0000
1762169677.8287,23.0000
1762169677.9955,22.0000
1762169678.1597,22.0000
1762169678.3262,24.0000
1762169678.4978,22.0000
1762169678.6539,22.0000
1762169678.8244,21.0000
1762169678.9914,20.0000
1762169679.1620,21.0000
1762169679.3103,22.0000
1762169679.4961,23.0000
1762169679.6576,22.0000
1762169679.8268,21.0000
1762169679.9871,21.0000
1762169680.1539,24.0000
1762169680.3224,21.0000
1762169680.4831,20.0000
1762169680.6546,25.0000
1762169680.8082,23.0000
1762169680.9623,22.0000
1762169681.1447,26.0000
1762169681.2981,23.0000
1762169681.4748,22.0000
1762169681.6438,24.0000
1762169681.8071,24.0000
1762169681.9621,23.0000
1762169682.1399,21.0000
1762169682.3057,22.0000
1762169682.4526,24.0000
1762169682.6306,22.0000
1762169682.7985,20.0000
1762169682.9638,24.0000
1762169683.1069,22.0000
1762169683.2865,21.0000
1762169683.4401,22.0000
1762169683.6234,22.0000
1762169683.7774,23.0000
1762169683.9561,22.0000
1762169684.1003,18.0000
1762169684.2675,22.0000
1762169684.4451,23.0000
1762169684.5976,23.0000
1762169684.7763,21.0000
1762169684.9298,21.0000
1762169685.0855,21.0000
1762169685.2636,23.0000
1762169685.4304,22.0000
1762169685.5962,24.0000
1762169685.7453,22.0000
1762169685.9174,22.0000
1762169686.0969,23.0000
1762169686.2515,23.0000
1762169686.4058,22.0000
1762169686.5852,22.0000
1762169686.7383,21.0000
1762169686.9162,21.0000
1762169687.0658,19.0000
1762169687.2446,20.0000
1762169687.4048,22.0000
1762169687.5702,22.0000
1762169687.7244,20.0000
1762169687.8970,20.0000
1762169688.0742,18.0000
1762169688.2382,21.0000
1762169688.3920,20.0000
1762169688.5696,22.0000
1762169688.7243,22.0000
1762169688.8838,22.0000
1762169689.0613,19.0000
1762169689.2158,22.0000
1762169689.3836,25.0000
1762169689.5625,25.0000
1762169689.7160,23.0000
1762169689.8696,24.0000
1762169690.0479,24.0000
1762169690.2094,19.0000
1762169690.3679,23.0000
1762169690.5466,22.0000
1762169690.7013,23.0000
1762169690.8798,23.0000
1762169691.0552,23.0000
1762169691.2094,21.0000
1762169691.3872,24.0000
1762169691.5430,23.0000
1762169691.7194,25.0000
1762169691.8690,20.0000
1762169692.0430,22.0000
1762169692.1967,22.0000
1762169692.3757,23.0000
1762169692.5280,24.0000
1762169692.6965,20.0000
1762169692.8744,21.0000
1762169693.0482,21.0000
1762169693.2036,23.0000
1762169693.3822,22.0000
1762169693.5389,24.0000
1762169693.7140,21.0000
1762169693.8673,25.0000
1762169694.0258,23.0000
1762169694.2052,21.0000
1762169694.3653,24.0000
1762169694.5445,22.0000
1762169694.6982,21.0000
1762169694.8590,19.0000
1762169695.0391,20.0000
1762169695.1920,20.0000
1762169695.3594,20.0000
1762169695.5360,20.0000
1762169695.6907,20.0000
1762169695.8687,22.0000
1762169696.0260,20.0000
1762169696.2052,24.0000
1762169696.3595,22.0000
