ros_time_s,Imu_Error_yaw
1762169682.6306,-0.0240
1762169682.7985,-0.0218
1762169682.9638,-0.0207
1762169683.1069,-0.0207
1762169683.2865,-0.0153
1762169683.4401,-0.0098
1762169683.6234,-0.0087
1762169683.7774,-0.0087
1762169683.9561,-0.0054
1762169684.1003,-0.0054
1762169684.2675,-0.0054
1762169684.4451,-0.0054
1762169684.5976,-0.0087
1762169684.7763,-0.0153
1762169684.9298,-0.0218
1762169685.0855,-0.0240
1762169685.2636,-0.0240
1762169685.4304,-0.0196
1762169685.5962,-0.0164
1762169685.7453,-0.0109
1762169685.9174,-0.0109
1762169686.0969,-0.0054
1762169686.2515,0.0000
1762169686.4058,0.0011
1762169686.5852,0.0011
1762169686.7383,0.0065
1762169686.9162,0.0142
1762169687.0658,0.0196
1762169687.2446,0.0196
1762169687.4048,0.0240
1762169687.5702,0.0284
1762169687.7244,0.0316
1762169687.8970,0.0316
1762169688.0742,0.0338
1762169688.2382,0.0327
1762169688.3920,0.0338
1762169688.5696,0.0316
1762169688.7243,0.0316
1762169688.8838,0.0273
1762169689.0613,0.0240
1762169689.2158,0.0164
1762169689.3836,0.0164
1762169689.5625,0.0065
1762169689.7160,-0.0087
1762169689.8696,-0.0218
1762169690.0479,-0.0218
1762169690.2094,-0.0251
1762169690.3679,-0.0294
1762169690.5466,-0.0349
1762169690.7013,-0.0436
1762169690.8798,-0.0436
1762169691.0552,-0.0545
1762169691.2094,-0.0633
1762169691.3872,-0.0665
1762169691.5430,-0.0665
1762169691.7194,-0.0676
1762169691.8690,-0.0676
1762169692.0430,-0.0665
1762169692.1967,-0.0611
1762169692.3757,-0.0611
1762169692.5280,-0.0622
1762169692.6965,-0.0567
1762169692.8744,-0.0502
1762169693.0482,-0.0502
1762169693.2036,-0.0491
1762169693.3822,-0.0491
1762169693.5389,-0.0524
1762169693.7140,-0.0535
1762169693.8673,-0.0535
1762169694.0258,-0.0578
1762169694.2052,-0.0578
1762169694.3653,-0.0611
1762169694.5445,-0.0611
1762169694.6982,-0.0589
1762169694.8590,-0.0535
1762169695.0391,-0.0469
1762169695.1920,-0.0469
1762169695.3594,-0.0415
1762169695.5360,-0.0382
1762169695.6907,-0.0360
1762169695.8687,-0.0305
1762169696.0260,-0.0305
1762169696.2052,-0.0218
1762169696.3595,-0.0120
1762169696.5135,-0.0054
1762169696.6924,-0.0054
1762169696.8465,0.0022
1762169697.0174,0.0098
1762169697.1851,0.0186
1762169697.3633,0.0186
1762169697.5171,0.0251
1762169697.6886,0.0295
1762169697.8423,0.0338
1762169698.0254,0.0415
1762169698.1800,0.0415
1762169698.3593,0.0502
1762169698.5129,0.0556
1762169698.6861,0.0600
1762169698.8410,0.0665
1762169699.0197,0.0665
1762169699.1839,0.0709
1762169699.3389,0.0742
1762169699.5112,0.0720
1762169699.6650,0.0720
1762169699.8442,0.0742
1762169700.0078,0.0676
1762169700.1862,0.0622
1762169700.3415,0.0589
1762169700.4957,0.0589
1762169700.6723,0.0535
1762169700.8262,0.0480
1762169701.0064,0.0426
1762169701.1602,0.0426
1762169701.3401,0.0393
1762169701.4954,0.0371
1762169701.6701,0.0349
1762169701.8455,0.0295
1762169702.0003,0.0295
1762169702.1796,0.0273
1762169702.3361,0.0262
1762169702.4986,0.0251
1762169702.6729,0.0251
1762169702.8337,0.0207
1762169703.0064,0.0175
1762169703.1670,0.0142
1762169703.3470,0.0153
1762169703.4981,0.0153
1762169703.6768,0.0175
1762169703.8374,0.0196
1762169703.9927,0.0240
1762169704.1698,0.0240
1762169704.3252,0.0305
1762169704.4984,0.0393
1762169704.6681,0.0458
1762169704.8327,0.0491
1762169705.0099,0.0491
1762169705.1650,0.0480
1762169705.3325,0.0480
1762169705.5018,0.0480
1762169705.6633,0.0426
1762169705.8375,0.0426
1762169705.9956,0.0404
1762169706.1737,0.0371
1762169706.3250,0.0338
1762169706.4912,0.0338
1762169706.6713,0.0229
1762169706.8264,0.0109
1762169707.0070,0.0011
1762169707.1606,-0.0087
1762169707.3228,-0.0087
1762169707.4995,-0.0153
1762169707.6632,-0.0164
1762169707.8296,-0.0218
1762169708.0062,-0.0218
1762169708.1606,-0.0294
1762169708.3398,-0.0360
1762169708.4939,-0.0426
1762169708.6542,-0.0502
1762169708.8115,-0.0502
1762169708.9855,-0.0545
1762169709.1488,-0.0567
1762169709.3298,-0.0600
1762169709.4876,-0.0644
1762169709.6643,-0.0644
1762169709.8181,-0.0665
1762169709.9913,-0.0665
1762169710.1624,-0.0709
1762169710.3156,-0.0709
1762169710.4810,-0.0742
1762169710.6582,-0.0796
1762169710.8243,-0.0840
1762169710.9719,-0.0905
1762169711.1381,-0.0905
1762169711.3250,-0.0960
1762169711.4839,-0.0993
1762169711.6428,-0.1004
1762169711.8082,-0.1004
1762169711.9884,-0.1047
1762169712.1439,-0.1058
1762169712.3136,-0.1058
1762169712.4723,-0.1025
1762169712.6501,-0.1025
1762169712.7975,-0.0982
1762169712.9793,-0.0927
1762169713.1346,-0.0873
1762169713.3103,-0.0840
1762169713.4613,-0.0840
1762169713.6412,-0.0796
1762169713.8088,-0.0709
1762169713.9588,-0.0633
1762169714.1382,-0.0633
1762169714.2979,-0.0556
1762169714.4764,-0.0502
1762169714.6301,-0.0458
1762169714.8094,-0.0393
1762169714.9616,-0.0393
1762169715.1240,-0.0338
1762169715.3009,-0.0294
1762169715.4745,-0.0294
1762169715.6288,-0.0240
1762169715.8055,-0.0175
1762169715.9595,-0.0131
1762169716.1399,-0.0131
1762169716.2944,-0.0076
1762169716.4473,-0.0033
1762169716.6144,0.0022
1762169716.7936,0.0065
1762169716.9475,0.0065
1762169717.1265,0.0109
1762169717.2812,0.0153
1762169717.4590,0.0218
1762169717.6132,0.0284
1762169717.7914,0.0284
1762169717.9465,0.0382
1762169718.1242,0.0491
1762169718.2788,0.0556
1762169718.4568,0.0556
1762169718.6116,0.0611
1762169718.7907,0.0665
1762169718.9444,0.0698
1762169719.1234,0.0676
1762169719.2778,0.0676
1762169719.4331,0.0665
1762169719.6107,0.0633
1762169719.7864,0.0600
1762169719.9407,0.0600
1762169720.0961,0.0545
1762169720.2753,0.0545
1762169720.4287,0.0567
1762169720.6087,0.0524
1762169720.7642,0.0524
1762169720.9504,0.0480
1762169721.1099,0.0415
1762169721.2654,0.0371
1762169721.4467,0.0371
1762169721.6072,0.0284
1762169721.7630,0.0186
1762169721.9428,0.0131
1762169722.1023,0.0098
1762169722.2692,0.0065
1762169722.4261,0.0065
1762169722.6013,0.0044
1762169722.7666,0.0044
1762169722.9359,0.0022
1762169723.0935,0.0022
1762169723.2716,0.0011
1762169723.4397,0.0065
1762169723.5976,0.0120
1762169723.7692,0.0175
