ros_time_s,imu_heading
1762169695.3732,2.0630
1762169695.5846,1.7500
1762169695.7954,1.2500
1762169696.0296,0.6870
1762169696.2437,0.3120
1762169696.4548,359.8750
1762169696.6567,359.4370
1762169696.8849,358.9370
1762169697.0974,358.5620
1762169697.3094,358.3120
1762169697.5119,358.0620
1762169697.7462,357.6250
1762169697.9586,357.1250
1762169698.1694,356.8120
1762169698.3768,356.5620
1762169698.5878,356.1870
1762169698.7995,355.9370
1762169699.0113,355.7500
1762169699.2245,355.8750
1762169699.4366,355.7500
1762169699.6473,356.1250
1762169699.8491,356.4370
1762169700.0777,356.6250
1762169700.3094,356.9370
1762169700.5318,357.2500
1762169700.7464,357.5620
1762169700.9455,357.7500
1762169701.1545,357.8750
1762169701.3662,358.0000
1762169701.5786,358.3120
1762169701.7923,358.4370
1762169702.0024,358.5000
1762169702.2152,358.5620
1762169702.4273,358.8120
1762169702.6388,359.0000
1762169702.8540,359.1870
1762169703.0635,359.1250
1762169703.2756,359.0000
1762169703.4886,358.8750
1762169703.7021,358.6250
1762169703.9439,358.2500
1762169704.1517,357.7500
1762169704.3622,357.3750
1762169704.5739,357.1870
1762169704.7859,357.2500
1762169704.9965,357.2500
1762169705.2072,357.2500
1762169705.4197,357.5620
1762169705.6320,357.6870
1762169705.8452,357.8750
1762169706.0574,358.0620
1762169706.2666,358.6870
1762169706.4701,359.3750
1762169706.6754,359.9370
1762169706.8884,0.5000
1762169707.1003,0.8750
1762169707.3117,0.9370
1762169707.5232,1.2500
1762169707.7551,1.6870
1762169707.9653,2.0630
1762169708.1780,2.4380
1762169708.3808,2.8750
1762169708.5983,3.1250
1762169708.8113,3.2500
1762169709.0236,3.4380
1762169709.2371,3.6880
1762169709.4484,3.8130
1762169709.6607,3.8130
1762169709.8718,4.0620
1762169710.0852,4.2500
1762169710.2974,4.5620
1762169710.5102,4.8120
1762169710.7230,5.1870
1762169710.9349,5.5000
1762169711.1501,5.6870
1762169711.3604,5.7500
1762169711.5734,6.0000
1762169711.7848,6.0620
1762169711.9981,6.0620
1762169712.1982,5.8750
1762169712.3984,5.6250
1762169712.6104,5.3120
1762169712.8219,5.0000
1762169713.0337,4.8120
1762169713.2455,4.5620
1762169713.4486,4.0620
1762169713.6745,3.6250
1762169713.8861,3.1880
1762169714.0979,2.8750
1762169714.3097,2.6250
1762169714.5496,2.2500
1762169714.7858,1.9370
1762169715.0071,1.6870
1762169715.2297,1.3750
1762169715.4647,1.0000
1762169715.6987,0.7500
1762169715.8999,0.4370
1762169716.1005,0.1870
1762169716.3017,359.8750
1762169716.5274,359.6250
1762169716.7411,359.3750
1762169716.9523,359.1250
1762169717.1546,358.7500
1762169717.3539,358.3750
1762169717.5966,357.8120
1762169717.8034,357.1870
1762169718.0144,356.8120
1762169718.2269,356.5000
1762169718.4410,356.1870
1762169718.6524,356.0000
1762169718.8628,356.1250
1762169719.0749,356.1870
1762169719.2867,356.3750
1762169719.4996,356.5620
1762169719.7108,356.8750
1762169719.9235,356.8750
1762169720.1251,356.7500
