ros_time_s,Imu_Error_yaw
1762168559.2474,0.0960
1762168559.4102,0.0851
1762168559.5759,0.0698
1762168559.7410,0.0644
1762168559.9218,0.0644
1762168560.0804,0.0545
1762168560.2383,0.0447
1762168560.4179,0.0360
1762168560.5706,0.0305
1762168560.7532,0.0305
1762168560.9060,0.0240
1762168561.0845,0.0142
1762168561.2400,0.0000
1762168561.4183,-0.0098
1762168561.5712,-0.0098
1762168561.7388,-0.0207
1762168561.9033,-0.0294
1762168562.0699,-0.0371
1762168562.2493,-0.0458
1762168562.4151,-0.0458
1762168562.5732,-0.0556
1762168562.7528,-0.0665
1762168562.9136,-0.0742
1762168563.0784,-0.0742
1762168563.2311,-0.0796
1762168563.4047,-0.0862
1762168563.5830,-0.0905
1762168563.7365,-0.0905
1762168563.9098,-0.0938
1762168564.0634,-0.0982
1762168564.2417,-0.1036
1762168564.3950,-0.1036
1762168564.5741,-0.1069
1762168564.7285,-0.1091
1762168564.9072,-0.1102
1762168565.0620,-0.1134
1762168565.2415,-0.1134
1762168565.3951,-0.1156
1762168565.5737,-0.1178
1762168565.7281,-0.1200
1762168565.9024,-0.1200
1762168566.0808,-0.1211
1762168566.2334,-0.1145
1762168566.3879,-0.1123
1762168566.5705,-0.1123
1762168566.7335,-0.1134
1762168566.8937,-0.1134
1762168567.0759,-0.1145
1762168567.2334,-0.1156
1762168567.3869,-0.1156
1762168567.5554,3.0249
1762168567.7343,3.0281
1762168567.9003,3.0292
1762168568.0655,3.0238
1762168568.2214,3.0238
1762168568.4039,3.0183
1762168568.5545,3.0194
1762168568.7370,3.0238
1762168568.9036,3.0271
1762168569.0558,3.0292
1762168569.2217,3.0292
1762168569.4034,3.0336
1762168569.5530,3.0336
1762168569.7410,3.0369
1762168569.9044,3.0391
1762168570.0560,3.0467
1762168570.2420,3.0467
1762168570.4064,3.0750
1762168570.5775,3.0969
1762168570.7545,3.1340
1762168570.9328,-3.1132
1762168571.1015,-3.0674
1762168571.2785,-3.0216
1762168571.4568,-3.0216
1762168571.6119,-3.0314
1762168571.8094,-3.0761
1762168571.9647,-3.1318
1762168572.1438,3.0816
1762168572.3170,3.0609
1762168572.5033,3.0958
1762168572.6775,3.0805
1762168572.8538,3.0805
1762168573.0064,3.0260
1762168573.1852,3.0380
1762168573.3651,3.0783
1762168573.5188,3.1241
1762168573.6964,-3.1241
1762168573.8740,-3.1078
1762168574.0291,-3.1078
1762168574.2099,-3.1089
1762168574.3737,-3.0881
1762168574.5521,-3.0794
1762168574.7057,-3.0729
1762168574.8971,-3.0718
1762168575.0499,-3.0718
1762168575.2277,-3.0707
1762168575.3905,-3.0729
1762168575.5603,-3.0729
1762168575.7193,-3.0729
1762168575.8982,-3.0707
1762168576.0747,-3.0707
1762168576.2304,-3.0707
1762168576.4090,-3.0707
1762168576.5640,-3.0652
1762168576.7422,-3.0631
1762168576.8962,-3.0532
1762168577.0738,-3.0543
1762168577.2275,-3.0543
1762168577.4068,-3.0521
1762168577.5876,-3.0587
1762168577.7413,-3.0598
1762168577.9191,-3.0510
1762168578.0731,-3.0510
1762168578.2608,-3.0423
1762168578.4232,-3.0380
1762168578.6029,-3.0281
1762168578.7575,-3.0238
1762168578.9174,-3.0238
1762168579.0921,-3.0325
1762168579.2684,-3.0325
1762168579.4404,-3.0423
1762168579.6051,-3.0467
1762168579.7657,-3.0445
1762168579.9470,-3.0434
1762168580.0983,-3.0391
1762168580.2746,-3.0391
1762168580.4548,-3.0325
1762168580.6198,-3.0238
1762168580.7704,-3.0270
1762168580.9499,-3.0270
1762168581.1234,-3.0336
1762168581.2980,-3.0336
1762168581.4543,-3.0510
1762168581.6335,-3.0107
1762168581.8135,-3.0129
1762168581.9822,-2.9943
1762168582.1500,-2.9671
1762168582.3272,-2.9714
1762168582.4839,-2.9714
1762168582.6625,-2.9692
1762168582.8397,-2.9660
1762168582.9954,-2.9616
1762168583.1737,-2.9583
1762168583.3272,-2.9529
1762168583.5060,-2.9463
1762168583.6838,-2.9463
1762168583.8399,-2.9420
1762168584.0187,-2.9376
1762168584.1733,-2.9343
1762168584.3494,-2.9300
1762168584.5024,-2.9234
1762168584.6831,-2.9234
1762168584.8377,-2.9180
1762168585.0102,-2.9147
1762168585.1885,-2.9136
1762168585.3443,-2.9125
1762168585.5209,-2.9103
1762168585.6759,-2.9103
1762168585.8540,-2.9049
1762168586.0329,-2.8940
1762168586.1884,-2.8918
1762168586.3651,-2.8885
1762168586.5200,-2.8852
1762168586.6997,-2.8852
1762168586.8539,-2.9125
1762168587.0320,-2.9583
1762168587.2115,-2.9823
1762168587.3642,-2.9649
1762168587.5440,-2.9420
1762168587.7257,-2.9420
1762168587.8811,-2.9507
1762168588.0427,-2.9485
1762168588.2322,-2.9332
1762168588.3862,-2.9212
1762168588.5655,-2.9212
1762168588.7443,-2.9049
1762168588.9000,-2.8907
1762168589.0779,-2.8776
1762168589.2329,-2.8634
1762168589.4108,-2.8471
1762168589.5654,-2.8471
1762168589.7438,-2.8318
1762168589.9015,-2.8176
1762168590.0791,-2.8034
1762168590.2347,-2.7925
1762168590.4003,-2.7794
1762168590.5774,-2.7794
1762168590.7319,-2.7674
1762168590.9113,-2.7554
1762168591.0644,-2.7467
1762168591.2449,-2.7358
1762168591.3992,-2.7249
1762168591.5771,-2.7249
1762168591.7551,-2.7140
1762168591.9221,-2.7020
1762168592.0772,-2.6878
1762168592.2554,-2.6769
1762168592.4100,-2.6671
1762168592.5893,-2.6540
1762168592.7424,-2.6540
1762168592.9167,-2.6442
1762168593.0968,-2.6354
1762168593.2510,-2.6245
1762168593.4290,-2.6169
1762168593.5841,-2.6169
1762168593.7617,-2.6104
1762168593.9162,-2.5994
1762168594.0966,-2.5875
1762168594.2730,-2.5765
1762168594.4286,-2.5667
1762168594.6072,-2.5558
1762168594.7608,-2.5558
1762168594.9408,-2.5449
1762168595.0945,-2.5296
1762168595.2726,-2.5122
1762168595.4516,-2.4936
1762168595.6057,-2.4729
1762168595.7858,-2.4729
1762168595.9390,-2.4500
1762168596.1172,-2.4271
1762168596.2718,-2.4086
1762168596.4505,-2.3922
1762168596.6297,-2.3715
1762168596.7836,-2.3715
1762168596.9614,-2.3518
1762168597.1161,-2.3311
1762168597.2954,-2.3147
1762168597.4506,-2.3038
1762168597.6282,-2.2951
1762168597.7821,-2.2853
1762168597.9511,-2.2853
1762168598.1186,-2.2711
1762168598.2997,-2.2580
1762168598.4533,-2.2427
1762168598.6344,-2.2242
1762168598.8058,-2.2035
1762168598.9554,-2.2035
1762168599.1367,-2.1882
1762168599.3110,-2.1773
1762168599.4668,-2.1620
1762168599.6461,-2.1500
1762168599.7991,-2.1500
1762168599.9791,-2.1402
1762168600.1323,-2.1304
1762168600.3101,-2.1217
1762168600.4655,-2.1118
1762168600.6451,-2.0998
1762168600.8222,-2.0835
1762168600.9762,-2.0835
1762168601.1507,-2.0682
1762168601.3042,-2.0508
