ros_time_s,Lidar_Left
1762168589.5654,1.1269
1762168589.7438,1.0318
1762168589.9015,1.0367
1762168590.0791,1.0956
1762168590.2347,1.1302
1762168590.4003,1.1067
1762168590.5774,1.1025
1762168590.7319,1.1195
1762168590.9113,1.0727
1762168591.0644,1.1319
1762168591.2449,1.0735
1762168591.3992,1.1099
1762168591.5771,1.0801
1762168591.7551,1.0428
1762168591.9221,1.0911
1762168592.0772,1.0946
1762168592.2554,1.0583
1762168592.4100,1.1131
1762168592.5893,1.0643
1762168592.7424,1.0820
1762168592.9167,1.0476
1762168593.0968,1.0081
1762168593.2510,0.9757
1762168593.4290,0.9323
1762168593.5841,0.8719
1762168593.7617,0.9760
1762168593.9162,0.9697
1762168594.0966,1.0714
1762168594.2730,1.0157
1762168594.4286,0.9534
1762168594.6072,1.0307
1762168594.7608,0.9593
1762168594.9408,1.0471
1762168595.0945,0.9449
1762168595.2726,0.9671
1762168595.4516,0.9856
1762168595.6057,1.0380
1762168595.7858,0.9864
1762168595.9390,1.0059
1762168596.1172,0.9795
1762168596.2718,1.0328
1762168596.4505,1.0473
1762168596.6297,1.0114
1762168596.7836,1.0286
1762168596.9614,1.0967
1762168597.1161,1.0539
1762168597.2954,1.0297
1762168597.4506,1.1156
1762168597.6282,1.0027
1762168597.7821,1.0862
1762168597.9511,1.0622
1762168598.1186,1.0153
1762168598.2997,1.0317
1762168598.4533,1.0837
1762168598.6344,1.0968
1762168598.8058,1.0715
1762168598.9554,1.0124
1762168599.1367,1.0702
1762168599.3110,1.0543
1762168599.4668,1.0307
1762168599.6461,0.9985
1762168599.7991,1.0429
1762168599.9791,1.0339
1762168600.1323,0.9902
1762168600.3101,1.0177
1762168600.4655,1.0466
1762168600.6451,1.0472
1762168600.8222,1.0338
1762168600.9762,1.0499
1762168601.1507,1.0529
1762168601.3042,1.0736
1762168601.4820,1.0832
1762168601.6559,1.0212
1762168601.8295,1.0610
1762168601.9842,1.0624
1762168602.1616,1.1119
1762168602.3199,1.1200
1762168602.4986,0.9701
1762168602.6500,1.0440
1762168602.8285,0.9620
1762168602.9886,0.9904
1762168603.1714,0.9389
1762168603.3274,0.9113
1762168603.5051,0.9994
1762168603.6600,0.9622
1762168603.8395,0.9609
1762168603.9938,0.9529
1762168604.1655,0.9265
1762168604.3455,0.9014
1762168604.5018,0.9227
1762168604.6787,0.9467
1762168604.8349,0.9282
1762168605.0119,0.9811
1762168605.1669,0.9225
1762168605.3474,0.9885
1762168605.5246,1.0197
1762168605.6790,1.0116
1762168605.8614,0.9864
1762168606.0147,1.0032
1762168606.1939,1.0017
1762168606.3488,1.0066
1762168606.5271,1.0926
1762168606.6805,0.9891
1762168606.8594,1.0467
1762168607.0142,1.1043
1762168607.1952,1.0407
1762168607.3725,1.0380
1762168607.5260,1.0487
1762168607.7046,1.0559
1762168607.8579,1.0718
1762168608.0374,1.1563
1762168608.1970,1.1859
1762168608.3759,1.0832
1762168608.5338,0.9684
1762168608.7106,0.9414
1762168608.8673,1.0713
1762168609.0456,0.9307
1762168609.1994,1.0258
1762168609.3755,1.0455
1762168609.5463,1.0603
1762168609.6994,1.0966
1762168609.8788,1.1340
1762168610.0564,1.2193
1762168610.2098,1.1332
1762168610.3919,1.1508
1762168610.5441,1.1551
1762168610.7067,1.0391
1762168610.8874,1.0700
1762168611.0643,1.2403
1762168611.2195,1.2519
1762168611.3987,1.2640
1762168611.5531,1.3100
1762168611.7317,1.3818
1762168611.8849,1.2667
1762168612.0641,1.2024
1762168612.2179,1.1860
1762168612.3964,1.2470
1762168612.5525,1.2128
1762168612.7302,1.2512
1762168612.8846,1.2246
1762168613.0616,1.1462
1762168613.2410,1.3185
1762168613.3963,1.2587
1762168613.5748,1.4264
1762168613.7385,1.3319
1762168613.8939,1.4463
1762168614.0626,1.4172
1762168614.2423,1.3722
1762168614.3973,1.4865
1762168614.5742,1.5170
1762168614.7285,1.5592
1762168614.9075,1.5438
1762168615.0601,1.4802
1762168615.2396,1.4710
1762168615.3950,1.4474
1762168615.5716,1.5535
1762168615.7508,1.6034
1762168615.9044,1.5249
1762168616.0702,1.6032
1762168616.2386,1.5593
1762168616.4166,1.5351
1762168616.5708,1.5589
1762168616.7505,1.6984
1762168616.9040,1.7105
1762168617.0828,1.6147
1762168617.2612,1.5453
1762168617.4161,1.6032
1762168617.5943,1.6361
1762168617.7491,1.6981
1762168617.9263,1.7270
1762168618.0810,1.6120
1762168618.2621,1.6951
1762168618.4318,1.6843
1762168618.5946,1.7124
1762168618.7568,1.6604
1762168618.9301,1.7220
1762168619.0894,1.7471
1762168619.2699,1.7407
